Datetime,S01_avg_kWh
0,3.799999999999982
1,3.7561643835616265
2,3.924840182648384
3,4.145662100456604
4,3.9581501831501664
5,3.5855707762556897
6,4.240365296803635
7,6.706301369862994
8,10.264566210045643
9,14.84931506849313
10,17.5146118721461
11,19.450684931506828
12,18.48730593607304
13,18.434794520547925
14,19.850593607305917
15,25.005205479452034
16,29.769954337899524
17,32.86018264840181
18,32.39470319634702
19,29.90283105022829
20,23.091141552511395
21,14.102465753424639
22,6.992237442922355
23,4.015616438356147
