Datetime,SOC_avg_kWh
0,71.39538812785386
1,70.70785388127851
2,70.48337899543377
3,70.51388127853879
4,72.36639194139191
5,81.0863926940639
6,97.2001826484018
7,118.44146118721459
8,137.66210045662098
9,150.37771689497714
10,155.8215525114155
11,157.77068493150682
12,158.49178082191779
13,158.11552511415522
14,154.53287671232874
15,149.02657534246572
16,141.63488584474882
17,133.2884931506849
18,121.91872146118718
19,110.0655707762557
20,97.04036529680363
21,86.1788127853881
22,77.96210045662097
23,73.25054794520545
