Datetime,D04_avg_kWh
0,12.641598173515975
1,10.912146118721452
2,9.930045662100447
3,9.401278538812777
4,9.143956043956036
5,9.172785388127846
6,9.681552511415516
7,10.632785388127845
8,11.526666666666657
9,11.857260273972594
10,11.894703196347024
11,12.095342465753415
12,12.593059360730585
13,12.981735159817344
14,13.221278538812777
15,13.718995433789948
16,15.103287671232868
17,17.207488584474877
18,19.58894977168949
19,21.19488584474885
20,21.48100456621004
21,20.185662100456614
22,17.813607305936063
23,15.052009132420082
