Datetime,OBS_avg_kWh
0,4.5655091324200905
1,4.447672146118721
2,4.395811872146118
3,4.3916502283105014
4,4.390518315018315
5,4.39272602739726
6,4.389246575342465
7,4.383678538812785
8,4.375475799086757
9,4.369027397260274
10,4.3559972602739725
11,4.3463881278538805
12,4.333213698630137
13,4.328577168949771
14,4.330028310502283
15,4.355600913242008
16,4.413342465753424
17,4.493051141552511
18,4.563857534246575
19,4.613186301369863
20,4.650772602739726
21,4.687896803652968
22,4.718270319634702
23,4.671133789954338
