Datetime,"U05, U04, U04B, GEO_avg_kWh"
0,94.35937625570777
1,93.79382739726029
2,93.5172502283105
3,95.4465305936073
4,97.82627472527473
5,104.95971232876713
6,111.75730410958903
7,122.37026666666667
8,132.5931917808219
9,143.5915890410959
10,151.48674520547945
11,154.89551415525113
12,155.69835525114155
13,155.34326575342467
14,154.28521461187214
15,150.9150730593607
16,142.80745570776256
17,130.62441643835615
18,119.21626392694063
19,110.63258173515983
20,106.18533515981736
21,102.55489497716896
22,99.26949863013698
23,96.43733698630136
