Datetime,OBS_avg_kWh_per_m2
0,0.028463273892893333
1,0.027728629339892275
2,0.027405310923604227
3,0.02737936551315774
4,0.02737230869712166
5,0.02738607249000785
6,0.027364380145526588
7,0.027329666700827836
8,0.027278527425727915
9,0.02723832541932839
10,0.027157090151333992
11,0.027097182841981798
12,0.027015047996447234
13,0.02698614195105842
14,0.02699518896821872
15,0.02715461915986289
16,0.027514603901205883
17,0.028011540782746324
18,0.028452977146175652
19,0.028760513100809612
20,0.02899484166296587
21,0.029226289299582087
22,0.029415650371787422
23,0.0291217817328824
