Datetime,SOC_avg_kWh_per_m2
0,0.006891446730487824
1,0.00682508242097283
2,0.0068034149609492054
3,0.006806359196770154
4,0.0069851729673158225
5,0.0078268718816664
6,0.009382257012393997
7,0.011432573473669362
8,0.013287847534422876
9,0.014515223638511307
10,0.015040690396854779
11,0.015228830591844288
12,0.015298434442270055
13,0.015262116323760157
14,0.014916300840958373
15,0.014384804569736074
16,0.013671321027485408
17,0.012865684667054527
18,0.01176821635725745
19,0.010624089843267922
20,0.009366830627104599
21,0.00831841822252781
22,0.007525299271874612
23,0.007070516210927167
