Datetime,ICT_avg_kWh
0,143.12031963470318
1,141.49890410958903
2,140.07625570776256
3,138.893698630137
4,138.14249084249084
5,142.1005479452055
6,155.3124200913242
7,171.8876712328767
8,188.49013698630137
9,199.19853881278536
10,207.3571689497717
11,212.24456621004566
12,213.93415525114153
13,215.10337899543381
14,215.42913242009132
15,214.43753424657532
16,210.7346118721461
17,203.4578082191781
18,193.65178082191778
19,177.88721461187214
20,164.2592694063927
21,152.49936073059362
22,148.46940639269408
23,145.01881278538812
