Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,97.22311827956989,95.61547619047619,96.3236559139785,95.07666666666665,92.6043010752688,92.59222222222219,84.48817204301075,94.20430107526882,92.07666666666667,90.55986021505379,101.73444444444448,100.06559139784947
1,97.01827956989247,95.08690476190476,95.76451612903226,94.63555555555556,92.19569892473116,91.93222222222218,83.64731182795697,93.67849462365591,91.27888888888891,89.30904301075272,101.61333333333336,99.62903225806453
2,96.72258064516129,94.52857142857144,95.58817204301074,94.29555555555557,91.93763440860214,91.75555555555552,83.3752688172043,93.12043010752689,90.67000000000002,89.77837634408606,101.4177777777778,99.2462365591398
3,98.78064516129032,96.18571428571428,97.66,96.22222222222221,93.98709677419353,93.65888888888884,85.19999999999999,94.98172043010753,92.66444444444446,91.45678125000003,103.6266666666667,101.34731182795701
4,101.38709677419355,98.54761904761905,100.18666666666667,98.52333333333333,96.3268817204301,96.56666666666662,87.32150537634408,97.0,95.02111111111113,93.8891612903226,105.96888888888891,103.47634408602153
5,110.28817204301076,107.19166666666668,108.11612903225806,105.5811111111111,103.9548387096774,105.21555555555551,91.86559139784946,102.45268817204301,102.11555555555557,101.12026881720432,112.55444444444447,109.45806451612906
6,114.6021505376344,110.9952380952381,112.88172043010753,109.40444444444444,111.20107526881718,120.43888888888884,101.7559139784946,110.53548387096774,111.11555555555557,107.45965591397852,117.94000000000003,113.06666666666668
7,124.33010752688172,120.00119047619047,122.06129032258063,117.01666666666667,122.98924731182794,136.32777777777773,112.95913978494623,121.23225806451613,123.52000000000001,118.67034408602153,129.07000000000002,120.56666666666668
8,133.87634408602148,128.31071428571428,130.7989247311828,123.82555555555555,134.24086021505374,150.3133333333333,123.78602150537634,130.71827956989247,134.15888888888892,129.96607526881724,142.6188888888889,128.75268817204304
9,148.9752688172043,143.0547619047619,143.96129032258065,134.2,146.410752688172,158.6422222222222,127.94623655913978,136.6451612903226,141.29000000000002,143.98698924731184,158.78444444444446,139.74838709677422
10,159.89999999999998,153.17619047619047,153.23870967741934,141.84555555555556,155.28709677419354,167.15111111111108,131.23870967741934,140.65376344086022,145.57888888888888,152.4654408602151,170.38666666666668,147.69569892473118
11,164.15698924731183,157.7547619047619,156.86021505376345,145.44333333333333,159.105376344086,171.59222222222218,132.56666666666666,142.9731182795699,147.08444444444447,155.69987096774196,175.20111111111112,151.22150537634408
12,164.69139784946236,158.86190476190475,157.92580645161289,146.7111111111111,160.36881720430105,173.17888888888885,133.07096774193548,143.83870967741936,148.08666666666667,154.17740860215056,176.82222222222222,151.66236559139787
13,163.00860215053763,159.06785714285712,157.66021505376344,146.1522222222222,160.18924731182793,173.1033333333333,133.29892473118278,143.65591397849462,148.22222222222223,153.09544086021506,176.63555555555558,151.12365591397852
14,161.60860215053765,158.43690476190477,156.54946236559138,144.3,159.0989247311828,172.42555555555552,132.88924731182794,142.33655913978495,148.28222222222223,151.811935483871,174.9355555555556,149.88494623655913
15,158.26236559139784,155.1142857142857,152.5021505376344,139.43333333333334,155.10752688172042,169.66444444444443,130.7763440860215,139.79032258064515,145.58444444444447,149.28284946236562,169.3311111111111,147.194623655914
16,151.647311827957,148.66071428571428,145.72043010752688,132.7488888888889,147.97311827956986,163.10777777777776,117.2268817204301,128.28602150537634,136.7411111111111,142.53509677419356,158.7888888888889,141.4698924731183
17,139.81397849462365,137.5797619047619,136.05483870967743,123.87444444444444,134.5806451612903,145.71777777777774,103.64193548387095,115.91505376344087,123.95111111111113,132.06597849462366,143.76777777777778,131.68064516129033
18,128.1215053763441,126.48214285714286,126.60860215053762,116.97999999999999,122.43978494623654,128.94999999999996,91.27311827956989,104.71612903225807,112.86333333333336,121.56353763440862,129.8288888888889,121.85053763440862
19,117.09354838709676,115.4297619047619,116.91505376344087,110.68222222222221,111.29999999999998,113.71666666666663,89.76344086021506,102.14301075268817,106.64666666666669,112.29545161290325,119.14111111111113,113.17526881720431
20,110.94838709677418,109.26309523809525,110.52688172043011,107.39777777777778,107.02150537634407,108.89666666666662,88.73763440860213,101.22043010752688,103.32444444444445,105.62303225806454,113.41333333333336,108.41612903225808
21,106.04193548387096,104.54404761904763,105.90537634408602,104.25888888888888,103.14408602150536,104.48555555555551,87.76774193548387,99.54086021505377,99.99333333333335,101.23344086021508,109.23444444444448,104.95161290322582
22,102.50537634408602,100.88571428571427,102.07204301075268,100.66777777777777,99.08709677419353,99.7133333333333,86.69569892473118,97.81505376344087,96.4888888888889,97.34732258064518,105.87444444444446,102.4204301075269
23,99.64838709677419,97.81309523809523,98.51505376344086,97.56666666666666,95.4795698924731,95.69666666666663,85.16881720430106,95.93978494623657,93.77111111111113,93.63423655913982,103.7488888888889,100.56129032258066
