Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,108.78602150537634,108.90833333333333,109.97419354838712,113.45666666666669,118.47634408602154,123.32000000000006,111.34838709677423,115.28064516129038,120.3255555555556,115.15698924731184,110.99111111111112,107.42903225806452
1,107.46774193548387,107.66190476190476,109.01290322580647,112.00333333333336,116.3161290322581,121.61666666666672,110.94838709677423,114.02473118279575,119.49111111111115,113.70000000000002,109.6277777777778,106.21612903225807
2,106.4279569892473,106.74285714285715,107.81612903225809,110.82000000000002,114.75806451612908,120.2155555555556,110.18494623655917,113.23225806451619,118.64000000000004,113.01612903225808,108.62222222222223,105.30537634408603
3,105.73655913978493,105.9357142857143,106.7077777777778,109.57111111111114,113.20215053763444,119.00222222222227,109.76021505376347,112.67419354838714,118.02111111111115,112.21562500000002,107.5177777777778,104.69247311827957
4,106.61290322580645,106.62142857142858,107.16777777777779,109.8877777777778,113.45806451612907,119.75888888888893,109.32365591397854,112.79354838709683,118.93666666666671,113.82795698924734,108.15333333333335,105.39784946236561
5,108.4752688172043,108.25833333333334,109.07634408602152,111.16111111111114,114.84086021505381,122.75888888888895,109.641935483871,113.74731182795705,120.67000000000004,115.72473118279571,110.07111111111112,107.28172043010754
6,115.35591397849463,115.48095238095239,116.98602150537637,117.84888888888892,123.01935483870972,129.77000000000004,112.97741935483874,118.45053763440865,125.68888888888893,120.68064516129033,115.64666666666669,111.27849462365593
7,125.32795698924731,125.33333333333333,128.41397849462368,128.16888888888892,133.8440860215054,140.53111111111113,121.30967741935488,127.236559139785,133.3144444444445,129.0967741935484,125.05555555555557,117.28172043010754
8,140.3290322580645,140.29166666666666,144.25698924731185,142.62333333333336,150.84838709677422,156.0255555555556,131.97634408602156,139.431182795699,146.34777777777782,141.56129032258067,140.4277777777778,126.55913978494624
9,155.347311827957,154.82380952380953,159.4483870967742,156.95444444444448,168.16129032258067,172.87222222222226,142.75806451612905,151.99892473118285,161.65222222222226,156.7935483870968,158.42111111111114,138.5451612903226
10,168.36451612903227,167.53214285714284,172.13118279569895,170.2666666666667,182.1150537634409,187.15888888888895,150.594623655914,163.00430107526887,176.1766666666667,169.62365591397852,174.66444444444446,148.88817204301077
11,176.71182795698925,174.7642857142857,180.6215053763441,180.75333333333336,191.05376344086025,195.91333333333338,156.5161290322581,171.33763440860218,186.46111111111117,179.22795698924733,184.17444444444445,155.5193548387097
12,180.48494623655913,177.11309523809524,183.75806451612905,186.89000000000001,192.05806451612906,199.8977777777778,159.98172043010757,176.5559139784947,192.49111111111114,182.90430107526882,187.64666666666668,157.48494623655915
13,182.46559139784947,177.35119047619045,184.2709677419355,188.41666666666669,191.60645161290327,200.79111111111115,160.93655913978498,178.95483870967746,195.7966666666667,183.6903225806452,188.9077777777778,158.194623655914
14,182.0752688172043,175.96547619047618,182.21075268817205,185.5766666666667,187.5118279569893,199.85222222222228,160.5731182795699,179.74731182795705,196.48333333333338,181.83333333333334,188.55333333333334,157.6967741935484
15,178.85806451612902,172.80833333333334,177.9440860215054,180.9177777777778,183.5688172043011,198.24222222222227,156.71290322580649,176.87204301075272,193.4777777777778,177.85698924731182,185.9888888888889,155.11182795698926
16,170.6268817204301,165.77261904761903,168.48172043010752,172.30000000000004,174.99569892473122,191.71000000000004,150.38279569892475,169.84086021505382,184.38444444444448,169.07526881720432,174.8188888888889,148.61612903225807
17,160.71182795698925,157.75833333333335,158.36021505376345,163.81555555555556,165.90430107526885,183.65333333333336,140.16344086021508,157.77204301075275,172.91888888888892,159.4182795698925,162.18222222222224,141.02795698924731
18,148.4279569892473,148.41904761904763,147.97419354838712,154.45000000000002,156.57204301075274,173.40000000000006,131.6397849462366,146.47096774193554,161.29222222222225,150.05913978494627,148.8277777777778,133.87956989247314
19,136.91935483870967,138.27619047619046,138.4655913978495,145.6266666666667,148.1645161290323,161.96888888888896,124.9376344086022,136.20322580645166,150.3366666666667,142.1688172043011,138.74222222222224,127.49462365591398
20,126.88064516129032,128.73809523809524,129.53763440860217,136.58888888888893,140.1580645161291,150.89555555555563,121.2903225806452,129.55268817204308,140.43222222222226,134.68064516129033,129.7877777777778,121.69247311827957
21,120.55483870967741,120.67857142857143,121.53870967741938,127.82444444444447,132.36129032258066,139.34111111111116,117.70322580645164,123.75053763440866,131.48888888888894,127.47956989247314,122.06333333333335,116.0247311827957
22,115.90537634408602,115.5904761904762,116.58387096774194,121.11000000000004,127.11075268817208,132.2744444444445,114.31720430107531,120.01075268817209,126.09444444444448,122.23978494623658,117.19000000000001,112.15698924731183
23,112.19247311827957,111.62142857142858,112.63870967741937,116.44222222222224,122.72688172043016,126.53777777777783,112.2150537634409,117.24516129032264,122.6655555555556,117.84731182795701,113.37333333333335,109.01989247311829
