Datetime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,133.67365591397848,130.28214285714287,133.55268817204305,137.63111111111115,141.43870967741935,158.85,156.258064516129,158.49569892473113,151.88333333333333,143.94086021505376,136.64000000000001,133.95913978494627
1,133.56881720430107,129.09880952380954,132.79032258064518,137.03333333333336,140.64086021505378,158.21444444444444,153.35161290322577,156.25161290322575,148.87666666666667,141.4881720430108,134.59222222222223,131.29032258064518
2,132.55483870967743,127.30714285714285,131.34408602150538,135.3066666666667,138.9698924731183,155.98222222222222,151.31075268817202,154.658064516129,147.10222222222222,140.8505376344086,134.8,129.90860215053766
3,131.9731182795699,126.73928571428571,130.83,133.71,137.1688172043011,153.84111111111113,148.9075268817204,153.14946236559138,145.73777777777778,140.13750000000002,134.3777777777778,129.0655913978495
4,131.2537634408602,125.80357142857143,130.66444444444446,132.11111111111114,135.46236559139786,150.70888888888888,146.8870967741935,151.2806451612903,144.96555555555554,140.49677419354842,136.24333333333337,130.76666666666668
5,135.46774193548387,129.2357142857143,133.89032258064518,134.45000000000002,137.78064516129035,152.76222222222222,149.69677419354838,154.42688172043006,149.88111111111112,146.38602150537636,142.6377777777778,137.71182795698928
6,149.1752688172043,142.0654761904762,146.5677419354839,144.77,149.4903225806452,166.19,162.9365591397849,168.21182795698923,163.07888888888888,160.5913978494624,158.32222222222222,151.4258064516129
7,165.05483870967743,158.3404761904762,162.93870967741935,159.0588888888889,165.66021505376347,185.51444444444445,180.42150537634404,184.8064516129032,180.0522222222222,178.941935483871,175.06,165.88279569892475
8,182.2258064516129,174.25238095238095,179.7709677419355,174.01111111111112,182.4182795698925,205.8,197.02580645161288,201.6311827956989,196.63555555555556,196.02795698924731,191.7388888888889,179.42473118279574
9,192.94086021505376,183.7047619047619,189.4225806451613,183.3488888888889,192.6516129032258,218.03444444444443,206.03870967741932,211.4860215053763,209.40999999999997,208.52043010752692,204.52,189.4021505376344
10,201.78172043010753,190.4595238095238,195.42150537634407,189.8066666666667,200.3505376344086,228.32,213.77419354838707,221.0806451612903,219.50555555555556,216.88602150537636,213.8777777777778,196.09892473118282
11,205.61720430107528,193.96785714285713,197.4924731182796,193.33555555555557,204.68817204301078,233.68333333333334,218.70645161290318,227.49247311827952,228.01555555555555,222.747311827957,219.9677777777778,200.2913978494624
12,205.0752688172043,193.0261904761905,197.24193548387098,194.57333333333335,206.36666666666667,236.7288888888889,222.36236559139783,230.73763440860213,232.57,225.00215053763444,221.29444444444445,201.15698924731183
13,204.71720430107527,192.28928571428574,197.22688172043013,195.15111111111113,207.0677419354839,238.11,224.06774193548387,232.6602150537634,236.60777777777778,226.67956989247313,223.09222222222223,202.41290322580647
14,205.21075268817202,191.09166666666667,197.1903225806452,194.91111111111113,206.85806451612905,239.77555555555554,226.67204301075265,233.50430107526878,237.6788888888889,225.46021505376345,223.3422222222222,202.1956989247312
15,204.82150537634408,191.77857142857144,196.18602150537637,193.95555555555558,205.5913978494624,240.10888888888888,226.36451612903224,234.32043010752685,236.4511111111111,222.2516129032258,220.8288888888889,199.48279569892475
16,200.6516129032258,190.53928571428568,193.57634408602152,191.34222222222223,201.91505376344085,237.73999999999998,223.2860215053763,232.6795698924731,232.04333333333335,216.26236559139787,214.22,193.65053763440864
17,191.89784946236557,186.275,188.82580645161292,186.11444444444444,195.01075268817206,231.40999999999997,214.44301075268814,226.89462365591393,222.38888888888889,207.59247311827957,204.09333333333333,185.85806451612908
18,180.69139784946236,176.52142857142857,180.2537634408602,177.82888888888888,186.13763440860217,219.79555555555555,203.48279569892472,216.09032258064514,211.8422222222222,198.34086021505377,193.49333333333337,178.60000000000005
19,164.16344086021505,159.3702380952381,165.4451612903226,163.30222222222224,170.32043010752687,197.78555555555556,186.40645161290317,196.34086021505374,196.49111111111108,185.58172043010754,179.95444444444448,168.53118279569898
20,150.94623655913978,144.45,150.70537634408603,150.48000000000002,156.65698924731183,177.91222222222223,172.9387096774193,179.1774193548387,184.52666666666667,174.83225806451614,168.6877777777778,158.67311827956993
21,140.46021505376342,133.77142857142857,139.80967741935484,141.11000000000004,145.65591397849465,163.04222222222222,162.92365591397845,165.90430107526876,170.28555555555556,161.68924731182796,156.00000000000003,148.18709677419358
22,137.60215053763443,131.89404761904763,135.89139784946238,139.11555555555557,143.2494623655914,160.54888888888888,160.9075268817204,163.2365591397849,162.65888888888887,154.28172043010753,148.61333333333334,142.57956989247316
23,134.83548387096772,131.14285714285714,134.82473118279572,138.31000000000003,142.44301075268817,159.91222222222223,158.1021505376344,160.505376344086,154.9322222222222,146.61182795698926,140.2977777777778,137.39677419354842
