Datetime,Winter,Spring,Summer,Autumn
0,42.87925925925925,34.746376811594224,29.474275362318853,33.41318681318681
1,41.269999999999996,34.12608695652176,28.97681159420291,31.39230769230769
2,41.17185185185185,33.99166666666669,28.94963768115943,31.352014652014653
3,41.57555555555555,34.514285714285734,29.47753623188407,31.923913043478255
4,42.6837037037037,35.7765567765568,30.257246376811608,33.4029304029304
5,46.32592592592592,43.0467391304348,43.72971014492755,41.99487179487179
6,58.163703703703696,59.75108695652176,63.20289855072465,58.57069597069597
7,77.05851851851851,84.75072463768117,92.11050724637683,85.1007326007326
8,96.32222222222222,107.31159420289856,109.31376811594205,107.62857142857142
9,109.96037037037036,123.20072463768116,123.79384057971016,123.92930402930402
10,116.21925925925925,130.4467391304348,129.98442028985508,128.93223443223442
11,120.10592592592592,134.90326086956523,136.1985507246377,131.34358974358975
12,120.9411111111111,136.61413043478262,139.47536231884058,132.03699633699634
13,121.04592592592593,137.45905797101452,141.47282608695653,133.27692307692305
14,119.7411111111111,136.20362318840583,140.98442028985508,133.6135531135531
15,116.6611111111111,132.67572463768118,136.6144927536232,130.68791208791208
16,111.06074074074073,126.42065217391306,127.96086956521741,123.27289377289377
17,102.77999999999999,116.85507246376812,117.38913043478261,111.71684981684982
18,93.24074074074073,104.9322463768116,99.53152173913045,96.26410256410256
19,84.8111111111111,90.9199275362319,82.77101449275364,83.37435897435897
20,76.62962962962962,78.41666666666669,67.42137681159421,69.63479853479853
21,70.49999999999999,69.03333333333335,61.48405797101451,62.06776556776556
22,59.69222222222221,55.58043478260872,49.49347826086958,50.257509157509155
23,50.74259259259259,44.71304347826089,39.00905797101451,41.83076923076923
