Datetime,Winter,Spring,Summer,Autumn
0,74.42944444444441,69.42355072463765,67.80144927536229,74.02161172161172
1,73.84037037037035,69.02536231884055,67.58623188405794,72.46666666666667
2,73.97518518518517,68.9260869565217,67.55797101449272,71.56190476190476
3,74.65703703703701,69.02783882783879,67.46992753623185,70.97463768115941
4,76.98740740740739,71.27142857142854,68.92282608695649,72.37252747252747
5,84.58185185185184,81.40507246376808,79.63369565217387,78.77582417582417
6,99.73185185185183,98.74057971014489,94.8550724637681,95.50989010989011
7,117.57851851851851,118.30905797101447,118.98623188405793,118.87802197802198
8,135.26333333333332,134.82427536231882,137.6192028985507,142.94688644688645
9,147.86296296296294,146.9246376811594,147.92536231884054,158.83516483516485
10,155.0711111111111,154.4369565217391,147.43804347826085,166.43919413919411
11,157.97037037037035,158.22355072463765,143.863768115942,171.17509157509156
12,157.5359259259259,158.6282608695652,144.3905797101449,173.55531135531135
13,156.34296296296296,157.95724637681155,144.26594202898548,174.03040293040291
14,152.57814814814813,154.28731884057967,142.55398550724635,168.82490842490841
15,147.52185185185184,149.47499999999997,137.7670289855072,161.44468864468863
16,140.67777777777775,142.34528985507242,130.31521739130432,153.307326007326
17,132.5674074074074,134.5402173913043,121.58949275362315,144.56373626373625
18,122.79703703703701,125.36630434782606,107.6978260869565,131.94175824175824
19,111.86037037037035,114.49927536231881,95.4351449275362,118.59926739926739
20,100.01666666666665,101.363768115942,83.23224637681156,103.68571428571428
21,88.88925925925923,87.00978260869562,76.83659420289851,92.1029304029304
22,81.03518518518516,76.74963768115938,71.8170289855072,82.36117216117215
23,76.40574074074071,71.00253623188402,68.71702898550721,76.98608058608058
