Datetime,Winter,Spring,Summer,Autumn
0,97.70203703703704,94.66376811594202,90.40471014492752,94.74383516483519
1,97.31666666666666,94.19384057971013,89.72898550724636,94.01480219780221
2,96.90925925925927,93.93659420289855,89.39166666666664,93.90948351648355
3,98.85740740740742,95.93479853479852,91.25434782608693,95.81902536231887
4,101.22333333333334,98.32344322344322,93.59746376811593,98.24465934065937
5,109.03888888888889,105.88731884057971,99.78623188405795,105.21789377289379
6,112.95111111111112,111.18152173913042,110.80652173913042,112.11995604395608
7,121.68703703703704,120.72898550724636,123.36702898550722,123.69758974358976
8,130.38,129.68478260869566,134.77210144927537,135.5195787545788
9,143.9551851851852,141.6036231884058,140.8869565217391,147.97615384615386
10,153.60444444444445,150.21376811594203,146.12173913043478,156.10324542124545
11,157.70962962962963,153.89384057971012,148.79891304347825,159.28860073260074
12,158.39000000000001,155.09202898550723,149.77789855072461,159.6347948717949
13,157.6888888888889,154.75978260869564,149.76847826086956,159.24936263736265
14,156.5837037037037,153.4141304347826,148.96485507246373,158.27146520146522
15,153.47074074074075,149.11847826086955,146.49456521739128,154.6729120879121
16,147.21259259259259,142.2496376811594,135.91449275362316,145.98338461538464
17,136.31740740740742,131.58623188405795,121.49782608695651,133.24848351648353
18,125.45148148148148,122.0641304347826,108.08876811594202,121.42017948717951
19,115.2262962962963,112.99057971014493,101.74565217391303,112.69002564102566
20,109.55185185185186,108.32536231884058,99.51739130434781,107.4334871794872
21,105.20037037037036,104.43804347826087,97.18623188405795,103.4623076923077
22,101.97222222222223,100.60833333333332,94.68731884057969,99.87546153846155
23,99.39185185185185,97.18297101449274,92.23115942028983,97.01386080586083
