Datetime,Winter,Spring,Summer,Autumn
0,132.71685185185186,137.53985507246378,157.8572463768116,144.15238095238095
1,131.39333333333335,136.81920289855074,155.91449275362316,141.65054945054945
2,130.01074074074074,135.2057971014493,153.9619565217391,140.91684981684983
3,129.34333333333336,133.93882783882785,151.94565217391303,140.08550724637684
4,129.3903703703704,132.7758241758242,149.613768115942,140.56776556776558
5,134.30185185185186,135.3836956521739,152.2902173913043,146.3025641025641
6,147.73851851851853,146.9663043478261,165.77499999999998,160.66336996336997
7,163.25111111111113,162.59057971014497,183.5597826086956,178.02820512820514
8,178.78037037037038,178.78478260869565,201.438768115942,194.81428571428575
9,188.84851851851855,188.5300724637681,211.78586956521738,207.49487179487178
10,196.30185185185186,195.25144927536235,220.97934782608695,216.75787545787546
11,200.15851851851852,198.56159420289856,226.55072463768113,223.56776556776558
12,199.97703703703704,199.4463768115942,229.8692028985507,226.27472527472528
13,200.05703703703705,199.86594202898553,231.54202898550722,228.76996336996336
14,199.77962962962965,199.70471014492756,233.24710144927533,228.7901098901099
15,198.92481481481482,198.62789855072464,233.52717391304344,226.46373626373628
16,195.0940740740741,195.6576086956522,231.16449275362316,220.79157509157508
17,188.06814814814817,190.02572463768118,224.17137681159417,211.31684981684984
18,178.6737037037037,181.44565217391303,213.05036231884057,201.19377289377292
19,164.17666666666668,166.38913043478263,193.46449275362315,187.32307692307694
20,151.58666666666667,152.63731884057972,176.66268115942026,176.0025641025641
21,141.04074074074074,142.20362318840583,163.96666666666664,162.64761904761906
22,137.54074074074074,139.42210144927537,161.57536231884055,155.1747252747253
23,134.5688888888889,138.52826086956523,159.50217391304344,147.27326007326008
