Datetime,Winter,Spring,Summer,Autumn
0,14.447962962962963,12.584420289855075,13.411956521739127,16.714285714285708
1,14.204444444444443,12.583333333333337,13.782246376811589,16.72637362637362
2,14.044444444444444,12.77644927536232,13.686594202898547,16.53589743589743
3,13.975185185185182,12.642124542124543,13.504710144927532,16.419927536231878
4,14.245925925925924,12.811355311355314,13.54166666666666,16.551282051282044
5,15.33148148148148,13.21630434782609,13.583333333333329,16.82564102564102
6,17.338148148148147,14.492028985507249,14.189855072463763,17.589377289377282
7,20.892592592592592,17.729347826086958,16.350724637681154,20.542490842490835
8,24.487407407407403,21.483695652173914,18.99384057971014,24.462271062271057
9,27.51037037037037,24.68840579710145,21.413405797101444,28.419047619047614
10,28.871481481481478,26.00326086956522,22.49746376811594,30.200732600732593
11,29.445185185185185,26.572826086956525,23.16811594202898,31.0084249084249
12,29.57777777777778,26.801449275362323,23.44528985507246,31.193772893772888
13,29.50111111111111,26.60289855072464,23.313405797101446,31.046520146520137
14,29.08888888888889,26.0786231884058,23.05543478260869,30.554212454212443
15,28.334444444444443,25.143478260869568,22.352536231884052,29.551282051282044
16,26.99925925925926,23.88586956521739,21.149275362318836,28.063369963369954
17,25.415925925925926,22.594927536231886,19.68442028985507,26.322710622710613
18,22.82962962962963,21.381884057971014,18.600724637681154,24.615384615384606
19,20.117407407407406,19.509057971014496,16.99239130434782,22.48608058608058
20,17.982592592592592,17.85072463768116,15.572463768115938,20.669597069597064
21,16.756666666666664,15.86304347826087,13.934782608695647,18.991208791208784
22,15.91148148148148,14.469565217391308,13.222101449275359,17.883150183150175
23,14.917222222222222,13.005797101449277,13.102536231884054,17.135164835164826
