Datetime,Winter,Spring,Summer,Autumn
0,108.35666666666667,113.97463768115945,116.57717391304352,115.48754578754581
1,107.09703703703704,112.4489130434783,115.46376811594209,114.26666666666668
2,106.13925925925925,111.13478260869569,114.48260869565223,113.42161172161174
3,105.43888888888888,109.86410256410258,113.7557971014493,112.57681159420292
4,106.19703703703703,110.20732600732603,113.89565217391308,113.64139194139196
5,107.99666666666667,111.69855072463771,115.3025362318841,115.49120879120882
6,113.99037037037037,119.30036231884061,120.29746376811599,120.67216117216121
7,122.55814814814815,130.16376811594205,129.57463768115946,129.15494505494507
8,135.57444444444445,145.9452898550725,142.33043478260873,142.7655677655678
9,149.39703703703705,161.57101449275365,155.6916666666667,158.93186813186816
10,161.39703703703705,174.88731884057972,166.6992753623189,173.44578754578757
11,168.8062962962963,184.17971014492758,174.35724637681164,183.24322344322346
12,171.5137037037037,187.57608695652178,178.58260869565223,187.62820512820514
13,172.51444444444445,188.0945652173913,180.00398550724643,189.40146520146524
14,171.77740740740742,185.0945652173913,179.84239130434787,188.8783882783883
15,168.79666666666668,180.8090579710145,177.04782608695655,185.68754578754582
16,161.53518518518518,171.92173913043482,170.41557971014498,176.01575091575094
17,153.01296296296294,162.6811594202899,160.27826086956526,164.7802197802198
18,143.41407407407408,152.9829710144928,150.2547101449276,153.35641025641027
19,134.0951851851852,144.06884057971018,140.80905797101454,143.73186813186817
20,125.67148148148148,135.41557971014495,133.72826086956525,134.96373626373628
21,119.03296296296297,127.23514492753625,126.79673913043483,127.01575091575094
22,114.5162962962963,121.60688405797104,122.09130434782612,121.84578754578757
23,110.92203703703704,117.27826086956524,118.58043478260875,117.96080586080589
