Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,138.1423076923077,145.97692307692307,144.68974358974359,144.62371794871794,145.1070512820513,142.97884615384618,140.37641509433962
1,136.54615384615386,144.51217948717948,143.2775641025641,142.7673076923077,143.63076923076923,140.1153846153846,139.67798742138365
2,135.57371794871796,142.9070512820513,141.70576923076922,141.80769230769232,142.0794871794872,138.40128205128207,138.09685534591193
3,134.57435897435897,141.64102564102566,140.6153846153846,141.44166666666666,140.04423076923078,137.1467948717949,136.83207547169812
4,135.0346153846154,140.29679487179487,139.3275641025641,140.74935897435898,138.1871794871795,137.24358974358975,136.15833333333333
5,141.3621794871795,145.67179487179487,144.3294871794872,145.22884615384618,143.0794871794872,138.17243589743592,136.95849056603774
6,160.40128205128207,163.5397435897436,162.22820512820513,162.5070512820513,160.7320512820513,139.5628205128205,138.53836477987423
7,182.35833333333332,184.68910256410257,183.9948717948718,184.13717948717948,182.26602564102566,145.2147435897436,141.14465408805032
8,203.53589743589743,204.73846153846154,205.08846153846156,205.60128205128206,201.64551282051283,153.87884615384615,145.76415094339623
9,216.4820512820513,216.66923076923075,216.96794871794873,218.62307692307692,212.50064102564102,163.65256410256413,150.4320754716981
10,226.28974358974358,226.7576923076923,227.05320512820512,228.26089743589745,219.91666666666666,169.82179487179488,154.4182389937107
11,231.61858974358972,232.57179487179488,233.55320512820512,234.1051282051282,224.32820512820516,173.39423076923077,157.1993710691824
12,232.75064102564102,234.1455128205128,236.78269230769232,234.6403846153846,224.87564102564102,175.93525641025641,159.45660377358493
13,234.1378205128205,235.58589743589744,238.05448717948718,235.36089743589744,225.02692307692308,177.16410256410256,161.425786163522
14,235.97884615384615,236.3128205128205,238.1051282051282,234.5096153846154,223.8179487179487,177.73333333333332,162.56289308176102
15,236.7429487179487,235.0897435897436,236.64871794871794,232.4647435897436,221.01474358974357,177.1096153846154,162.9817610062893
16,232.97564102564104,230.04423076923075,232.125,226.68397435897435,216.40833333333333,174.69935897435897,163.12138364779875
17,225.95833333333334,223.0653846153846,224.2955128205128,218.03397435897435,210.0903846153846,164.89615384615385,158.7251572327044
18,214.0057692307692,212.53333333333333,212.03333333333333,206.56730769230768,202.04102564102564,155.16538461538462,153.97924528301888
19,194.0653846153846,192.57435897435897,191.39038461538465,187.63397435897437,185.1814102564103,146.6871794871795,148.24779874213837
20,174.71923076923076,172.45641025641027,172.47500000000002,170.66089743589743,169.3448717948718,144.4903846153846,146.0188679245283
21,158.34935897435895,155.53141025641025,156.6423076923077,156.33653846153845,154.09935897435898,142.70384615384617,143.99622641509436
22,152.57564102564103,150.2820512820513,151.4948717948718,151.5794871794872,149.59615384615384,141.55192307692306,142.3238993710692
23,148.01474358974357,146.61089743589744,147.1224358974359,147.20192307692307,145.1346153846154,141.08525641025642,140.05723270440254
