Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,33.267307692307696,36.017307692307696,35.759615384615394,35.9698717948718,35.938461538461546,35.44615384615385,33.26981132075473
1,33.234615384615395,34.275000000000006,34.18205128205129,34.52179487179488,34.29935897435898,33.667307692307695,33.190566037735856
2,33.20192307692309,34.22948717948719,34.0474358974359,34.50897435897437,34.17628205128206,33.525000000000006,33.15597484276731
3,35.483974358974365,34.51089743589744,34.39102564102565,34.89935897435898,34.45512820512821,33.417948717948725,33.194339622641515
4,41.46794871794873,35.091666666666676,34.907051282051285,35.4224358974359,34.95,33.455769230769235,33.17692307692308
5,54.76153846153847,45.82179487179488,46.241666666666674,46.53653846153847,45.58269230769231,33.94166666666667,33.66477987421384
6,74.25064102564103,68.68012820512821,69.52179487179488,69.16602564102564,67.60512820512821,36.53076923076924,34.28679245283019
7,101.33205128205128,102.84679487179488,104.26153846153846,102.96987179487179,100.3974358974359,43.45641025641026,39.18742138364781
8,124.81153846153846,130.60576923076923,132.18846153846155,130.19807692307694,126.3371794871795,50.76923076923078,42.59245283018869
9,141.7025641025641,147.21923076923076,149.00128205128206,146.87307692307692,141.40448717948718,71.40961538461539,45.6937106918239
10,148.40833333333333,153.14038461538462,154.5794871794872,152.89807692307693,145.87884615384615,87.39166666666667,44.39245283018868
11,152.52948717948718,156.27628205128207,157.19294871794872,155.58846153846156,147.82115384615383,103.04551282051283,44.06729559748428
12,155.44423076923078,158.59807692307692,158.86089743589744,157.12435897435898,149.78653846153844,103.95897435897436,44.22830188679246
13,157.51666666666668,159.92371794871795,159.94935897435897,157.35897435897436,150.35,105.5474358974359,44.725786163522024
14,157.6698717948718,158.7076923076923,158.90769230769232,155.6525641025641,147.67371794871795,106.73012820512821,45.265408805031456
15,154.67628205128204,153.95641025641027,154.0897435897436,150.2679487179487,140.86346153846154,106.87179487179489,45.454088050314475
16,146.7153846153846,143.92307692307693,144.22435897435898,140.14102564102564,131.09230769230768,105.60064102564102,45.437106918238996
17,135.8775641025641,131.23589743589744,131.77564102564102,127.71346153846154,121.2948717948718,93.77371794871796,45.28301886792454
18,123.75897435897437,115.62435897435898,116.17948717948717,112.81987179487179,108.62435897435898,71.14807692307693,42.609433962264156
19,111.31858974358974,101.2051282051282,101.62435897435898,99.54807692307692,96.85641025641027,49.10384615384616,39.57547169811322
20,94.93205128205129,86.87051282051281,86.58397435897436,85.7724358974359,83.83333333333334,37.275641025641036,36.53962264150944
21,81.40705128205128,77.56730769230771,77.2923076923077,77.03525641025641,75.97179487179488,36.022435897435905,35.57295597484277
22,61.98333333333334,61.62051282051282,61.38782051282052,61.3673076923077,60.68076923076923,34.82692307692309,34.63144654088051
23,48.55897435897437,48.26410256410257,48.249358974358984,48.23461538461539,47.59743589743591,33.833974358974366,33.76352201257862
