Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,68.69679487179485,72.04487179487177,72.03333333333332,71.95192307692305,72.78461538461536,72.2153846153846,70.06635220125784
1,68.40192307692305,71.48846153846151,70.95897435897433,70.89935897435895,71.73910256410254,71.57756410256408,69.90503144654086
2,68.91538461538458,71.22884615384613,70.77115384615382,70.25641025641023,71.17756410256408,71.21923076923075,69.82767295597482
3,69.89230769230767,71.23589743589741,71.15128205128202,69.98205128205126,70.7608974358974,70.8782051282051,69.71194968553456
4,76.76923076923075,72.675641025641,72.9532051282051,71.81858974358973,71.61346153846151,70.84999999999997,69.88461538461536
5,91.3980769230769,83.3378205128205,83.74166666666665,83.50512820512819,81.04166666666664,72.71474358974356,72.03962264150941
6,110.62884615384613,106.3179487179487,105.7705128205128,107.14679487179485,101.53269230769229,75.16474358974357,74.28050314465406
7,131.55448717948715,136.43717948717946,135.5532051282051,137.53525641025638,127.97948717948715,82.51602564102562,78.28679245283017
8,151.58141025641024,162.68589743589743,162.19423076923073,162.7576923076923,150.8429487179487,92.62692307692305,82.01572327044023
9,167.87051282051283,178.10769230769228,178.94166666666663,176.82948717948713,162.93717948717946,102.83910256410255,86.34968553459117
10,175.67435897435897,184.17435897435897,185.2147435897436,181.80576923076922,166.95833333333331,109.19166666666663,89.01635220125783
11,178.1782051282051,187.75833333333333,187.2903846153846,184.04551282051278,167.2705128205128,111.00384615384613,90.14842767295595
12,179.86730769230766,188.75448717948714,187.86474358974357,184.30897435897435,167.0435897435897,111.84423076923075,91.05597484276727
13,181.84743589743587,188.4532051282051,188.68141025641023,182.86089743589739,165.7653846153846,109.100641025641,91.38301886792449
14,179.35705128205126,183.11025641025637,185.29743589743586,177.87692307692305,161.38653846153844,104.20256410256408,91.7075471698113
15,173.36089743589739,175.63653846153844,179.02820512820512,171.14999999999998,155.01730769230767,98.72499999999998,91.3767295597484
16,163.7384615384615,165.91410256410256,169.68333333333334,162.2076923076923,148.02499999999998,93.47628205128203,89.40377358490564
17,152.6134615384615,155.28782051282047,158.4775641025641,150.95833333333331,140.4083333333333,89.50769230769228,86.66289308176098
18,138.19743589743587,141.82115384615383,142.57435897435897,136.4532051282051,129.09871794871793,84.20064102564099,81.85597484276727
19,122.22499999999998,127.12115384615382,126.09615384615383,122.16025641025638,115.82884615384613,79.83333333333331,77.814465408805
20,104.05769230769229,110.51025641025639,108.29423076923074,106.65128205128204,100.10705128205126,75.89102564102562,74.21006289308173
21,88.93974358974357,95.4903846153846,93.41730769230767,93.17179487179486,87.21923076923075,73.40769230769229,71.88050314465406
22,78.65961538461536,83.26538461538459,81.45320512820511,82.050641025641,78.10897435897434,71.83653846153844,70.50377358490564
23,73.8282051282051,75.54102564102563,74.62179487179485,75.42692307692306,73.68525641025639,70.53846153846152,69.19025157232701
