Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,91.93688461538461,96.48115384615386,97.21663461538462,96.1065641025641,95.69171153846153,92.25173717948718,90.89752201257862
1,91.55827564102563,95.9578141025641,96.33546794871793,95.24301282051282,95.1380576923077,91.65525000000001,90.72787421383649
2,91.36810256410256,95.79346153846154,95.92479487179487,94.7643782051282,94.96263461538462,91.37575,90.48984905660376
3,93.99627564102563,97.66812820512821,97.63460897435897,96.42355769230768,96.75382051282052,93.12986538461539,92.57468553459118
4,97.41117307692308,100.10585256410256,99.98645512820514,98.75821153846154,99.05071153846153,95.00560897435898,94.46591025641025
5,105.37180128205128,107.95328846153846,107.93451923076924,106.73553205128204,106.84596794871794,100.29328205128205,99.68503144654088
6,114.47992948717949,118.57492948717949,118.92538461538462,117.27523717948718,116.45649358974359,98.9251923076923,97.92987421383648
7,128.32478205128206,134.65478205128204,135.38371153846154,133.94171794871795,130.52228846153847,98.30366025641025,95.96864779874214
8,144.47867948717948,151.7718076923077,152.12635256410255,151.15483333333333,144.06791025641024,94.5150064102564,90.84068553459119
9,159.57186538461536,168.01935897435897,168.05234615384614,166.5029358974359,157.13937179487178,96.12440384615385,90.7470817610063
10,171.08670512820512,179.57678205128207,179.19185897435898,176.87601923076923,167.13989743589744,96.70217307692307,90.99704402515724
11,175.78680769230772,184.08094871794873,185.05558974358974,180.7071923076923,171.6620769230769,97.10898717948719,91.0939496855346
12,177.94872435897437,185.29591666666667,186.54488461538463,180.2884358974359,172.6887692307692,97.01302564102564,91.34627044025157
13,178.61126282051282,185.4059294871795,187.21907692307693,178.73200641025642,170.24446153846154,96.62969871794871,91.78274213836478
14,178.92222435897435,185.61860897435898,185.8534551282051,176.63151282051282,165.59739102564103,96.11035897435899,92.45205031446541
15,175.71139102564103,181.0353141025641,180.88414102564104,173.04185256410256,157.7727435897436,95.67711538461539,93.38922012578617
16,164.4593205128205,169.20623076923079,168.039858974359,162.0621794871795,146.8645641025641,95.76414102564102,94.19083018867926
17,146.51893589743588,150.92892307692307,149.45727564102566,145.56347435897436,131.8926858974359,95.77025,94.92588050314465
18,129.6883076923077,134.32171153846156,132.21216025641027,129.56757692307693,118.39290384615384,95.54847435897435,95.24372327044026
19,118.03332051282051,121.74374358974359,119.74230769230768,117.7263717948718,107.48778205128204,94.92257692307693,95.07122641509433
20,112.37660897435897,114.86635256410257,113.27964743589745,111.39169230769231,102.74835256410256,94.27555769230769,94.58227044025156
21,107.57241666666667,109.27959615384614,108.0669423076923,106.4765,99.13925641025641,93.6033076923077,93.9124465408805
22,103.08759615384616,104.29735897435897,103.23673076923076,102.20350641025642,96.44860897435896,92.58979487179487,93.14075471698114
23,99.20346794871794,100.23363461538462,99.09878846153846,98.40673076923076,94.0508782051282,91.79935897435897,92.34715723270439
