Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,110.40512820512822,114.76282051282054,114.97756410256413,116.78846153846156,115.01794871794874,112.74871794871797,110.71320754716983
1,109.90192307692311,113.33525641025645,113.45320512820516,115.0621794871795,113.50576923076925,111.5320512820513,109.65786163522014
2,109.36474358974361,112.11089743589747,112.2820512820513,113.69230769230771,112.39358974358977,110.67500000000003,108.74968553459122
3,108.74102564102567,111.3570512820513,111.33717948717951,112.72435897435899,111.49551282051286,109.76474358974362,107.69622641509437
4,110.77820512820516,112.33012820512823,112.2544871794872,113.45000000000003,112.0641025641026,108.8692307692308,107.299358974359
5,114.93525641025644,114.51025641025643,114.47500000000004,115.41025641025644,113.80641025641027,108.46282051282053,106.98679245283022
6,124.38012820512823,122.82179487179489,122.90320512820516,123.33782051282054,121.0948717948718,108.6769230769231,107.09685534591196
7,136.26794871794874,136.18717948717952,136.50641025641028,136.58782051282054,132.76538461538465,109.70000000000003,107.59433962264153
8,154.0089743589744,156.57884615384617,157.07948717948722,155.3147435897436,149.62756410256412,111.20064102564105,108.61509433962267
9,173.0352564102564,177.25961538461542,178.50448717948723,175.72628205128208,167.36282051282055,113.44551282051285,110.55345911949688
10,190.9692307692308,195.24487179487184,196.25256410256412,191.50641025641028,182.31666666666666,116.0916666666667,112.66855345911952
11,202.82243589743592,206.59358974358977,207.849358974359,201.60256410256412,192.33589743589744,118.574358974359,115.18176100628934
12,208.59679487179488,211.88910256410256,212.10000000000002,204.61410256410258,196.53717948717951,120.55576923076926,116.4861635220126
13,210.66217948717951,213.3070512820513,213.39294871794874,205.0717948717949,196.43782051282054,122.20512820512823,117.9415094339623
14,209.83846153846156,211.43076923076927,211.00641025641028,203.76474358974363,193.20320512820516,123.42179487179489,118.55660377358494
15,205.75833333333335,206.18974358974359,205.76538461538465,199.74615384615387,186.41538461538462,124.46025641025643,119.59748427672959
16,194.96538461538464,193.66538461538465,193.79294871794875,188.90128205128207,175.56346153846155,124.28589743589745,119.80314465408807
17,180.46538461538464,179.42948717948718,179.80448717948718,175.66858974358976,163.58076923076925,123.94615384615388,119.39433962264154
18,165.7166666666667,164.8974358974359,165.92371794871798,161.8474358974359,151.26858974358976,122.62628205128206,118.52830188679249
19,152.15000000000003,152.2198717948718,152.91602564102567,149.98974358974363,140.09807692307695,120.88653846153849,117.12075471698115
20,140.88141025641028,140.8147435897436,141.71282051282054,139.21858974358977,130.93269230769232,118.5769230769231,115.51383647798744
21,130.57500000000002,130.58846153846156,131.67884615384617,129.22243589743593,123.49102564102567,116.27628205128207,113.71823899371071
22,123.36987179487181,123.65192307692311,125.3448717948718,122.79166666666669,119.09807692307695,114.12884615384618,112.04968553459123
23,118.22500000000004,118.40320512820516,120.31538461538464,118.06282051282054,115.15384615384617,112.3448717948718,111.05943396226418
