Datetime,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,2.4423076923076925,2.6089743589743586,2.480769230769231,2.474358974358974,2.576923076923077,2.6153846153846154,2.5125786163522013
1,2.41025641025641,2.4871794871794872,2.41025641025641,2.3974358974358974,2.4487179487179485,2.467948717948718,2.459119496855346
2,2.41025641025641,2.4423076923076925,2.3846153846153846,2.3589743589743586,2.3974358974358974,2.4487179487179485,2.383647798742138
3,2.4166666666666665,2.4871794871794872,2.4423076923076925,2.4166666666666665,2.391025641025641,2.4294871794871793,2.3270440251572326
4,2.5128205128205128,2.5833333333333335,2.506410256410256,2.5,2.4615384615384617,2.4487179487179485,2.391025641025641
5,2.5961538461538463,2.724358974358974,2.6410256410256414,2.6153846153846154,2.5833333333333335,2.5833333333333335,2.490566037735849
6,2.7115384615384617,2.8141025641025643,2.7115384615384617,2.6858974358974357,2.730769230769231,2.724358974358974,2.6226415094339623
7,2.7564102564102564,2.9102564102564106,2.769230769230769,2.782051282051282,2.8397435897435894,2.8653846153846154,2.7106918238993707
8,2.878205128205128,2.974358974358974,2.826923076923077,2.871794871794872,2.9102564102564106,2.8974358974358974,2.79874213836478
9,2.9423076923076925,3.0064102564102564,2.878205128205128,2.9294871794871797,2.9294871794871797,2.8653846153846154,2.830188679245283
10,2.9358974358974357,2.9102564102564106,2.9166666666666665,2.974358974358974,2.9358974358974357,2.775641025641026,2.8050314465408803
11,2.8397435897435894,2.871794871794872,2.9423076923076925,3.1153846153846154,2.9423076923076925,2.775641025641026,2.7547169811320753
12,2.8461538461538463,2.8653846153846154,3.032051282051282,3.3461538461538463,3.0384615384615383,2.9423076923076925,2.855345911949686
13,2.980769230769231,2.8589743589743586,3.0961538461538463,3.5705128205128203,3.051282051282051,3.25,3.0691823899371067
14,3.282051282051282,2.8333333333333335,3.1538461538461537,3.6346153846153846,3.0641025641025643,3.5897435897435894,3.50314465408805
15,3.6025641025641026,2.9423076923076925,3.275641025641026,3.6346153846153846,3.121794871794872,4.083333333333333,3.8867924528301887
16,3.782051282051282,3.1153846153846154,3.551282051282051,3.5641025641025643,3.4038461538461537,4.5,4.050314465408805
17,3.8076923076923075,3.3141025641025643,3.7628205128205128,3.769230769230769,3.628205128205128,4.743589743589744,3.911949685534591
18,3.6794871794871797,3.3525641025641026,3.7628205128205128,3.8846153846153846,3.8076923076923075,4.519230769230769,3.477987421383648
19,3.519230769230769,3.301282051282051,3.480769230769231,3.8333333333333335,3.705128205128205,4.089743589743589,3.182389937106918
20,3.2371794871794872,3.1153846153846154,3.1923076923076925,3.455128205128205,3.576923076923077,3.519230769230769,2.89937106918239
21,2.9935897435897436,2.9166666666666665,2.9038461538461537,3.121794871794872,3.275641025641026,3.128205128205128,2.880503144654088
22,2.8525641025641026,2.7564102564102564,2.7628205128205128,2.8910256410256414,3.0705128205128203,2.8076923076923075,2.7421383647798745
23,2.724358974358974,2.6025641025641026,2.6025641025641026,2.730769230769231,2.794871794871795,2.6602564102564106,2.660377358490566
