,Atm pressure mm of mercury,Mean wind direction,Mean wind speed,Relative humidity (%),Relative humidity (%)_lag_1h,Relative humidity (%)_lag_24h,Relative humidity (%)_lag_2h,Relative humidity (%)_lag_3h,Relative humidity (%)_roll_mean_12h,Relative humidity (%)_roll_mean_24h,Relative humidity (%)_roll_mean_3h,Relative humidity (%)_roll_mean_6h,Relative humidity (%)_roll_std_12h,Relative humidity (%)_roll_std_24h,Relative humidity (%)_roll_std_3h,Relative humidity (%)_roll_std_6h,Unnamed: 9,air temperature,air temperature_lag_1h,air temperature_lag_24h,air temperature_lag_2h,air temperature_lag_3h,air temperature_roll_mean_12h,air temperature_roll_mean_24h,air temperature_roll_mean_3h,air temperature_roll_mean_6h,air temperature_roll_std_12h,air temperature_roll_std_24h,air temperature_roll_std_3h,air temperature_roll_std_6h,building_size_m2,cloud_cover_percentage,cloud_cover_percentage_lag_1h,cloud_cover_percentage_lag_24h,cloud_cover_percentage_lag_2h,cloud_cover_percentage_lag_3h,cloud_cover_percentage_roll_mean_12h,cloud_cover_percentage_roll_mean_24h,cloud_cover_percentage_roll_mean_3h,cloud_cover_percentage_roll_mean_6h,cloud_cover_percentage_roll_std_12h,cloud_cover_percentage_roll_std_24h,cloud_cover_percentage_roll_std_3h,cloud_cover_percentage_roll_std_6h,dayofweek,dayofweek_cos,dayofweek_sin,dayofyear,dayofyear_cos,dayofyear_sin,hour,hour_cos,hour_sin,hour_x_dayofweek,is_drifting,is_fog,is_freezing_precip,is_grains,is_mist,is_rain,is_shower,is_snow,is_weekend,season_Autumn,season_Spring,season_Summer,season_Winter,temp_x_hour,visibility,visibility_lag_1h,visibility_lag_24h,visibility_lag_2h,visibility_lag_3h,visibility_roll_mean_12h,visibility_roll_mean_24h,visibility_roll_mean_3h,visibility_roll_mean_6h,visibility_roll_std_12h,visibility_roll_std_24h,visibility_roll_std_3h,visibility_roll_std_6h,weather phenomena,year
Atm pressure mm of mercury,1.0,,-0.2751365033061578,-0.35612096612583877,-0.35662658445614204,-0.31748950407811866,-0.3564776735038182,-0.3557931176400325,-0.39906107201167046,-0.42741763744607064,-0.36326631534944365,-0.3739985691536213,0.27696921613763287,0.3019572135740663,0.12959806285033415,0.2024708003935176,,0.08565953073221812,0.08348000078447891,0.08854358892396495,0.08156466896769315,0.07989343680945193,0.07963115099337344,0.08350872357427136,0.08188348346050921,0.08027835986873898,0.3171031815286417,0.33905811035992844,0.20708699615822462,0.25713053250509277,-0.0008689417848035206,-0.433818804540261,-0.4323312045004234,-0.32558950040707396,-0.42980383789506077,-0.4265836051581295,-0.4617691505729503,-0.4568927337148111,-0.44430290160411506,-0.45381871903348786,-0.10873211648641638,-0.11585167138949551,-0.10558364945754409,-0.11374698602061846,0.02274005401216166,-0.002490585333854001,-0.024246263117639538,-0.18996125295025235,-0.25587743645201233,0.1595191153805036,0.01071416441716142,-0.0026310168700045674,-0.012667794978746115,0.02728444037116786,,,,,,,,,0.01623453448726917,-0.12419627706045597,0.1558124773136425,0.04805321747815821,-0.07881116688448317,0.08736518378565755,0.19412776874342136,0.1977332346818971,0.1596625208291789,0.1997909906234142,0.20051927555188512,0.2517957605040304,0.26898047820073434,0.2151457796342034,0.23245275139310337,-0.34434046453360123,-0.35671393815035357,-0.27321459304153156,-0.3158751009714077,,
Mean wind direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean wind speed,-0.2751365033061578,,1.0,-0.14882797782232576,-0.12479341853659828,-0.048162710969787484,-0.08818817934803257,-0.047521952654394045,0.09943901799116657,0.09900847950994036,-0.08845939668306052,-0.023833705265944156,-0.08427516733299084,-0.1022969411917467,-0.044460221752981796,-0.06544811830624772,,0.06497095775785229,0.06078938416164298,0.025627585374974646,0.04885816035485175,0.03342203712254321,-0.026176286045482194,-0.025750091631991462,0.047798325220294445,0.022079634983863825,-0.119986976007848,-0.12809175079649154,-0.13549370421326726,-0.13110187795902878,-0.0035825859453408743,0.13553528756648991,0.1355061590117093,0.06090705533945702,0.1315490134630877,0.12700623432669317,0.11898262607378153,0.09415897106678467,0.13588282953314548,0.13352785653194835,0.0730516754753946,0.11088978485252698,0.032980010931827335,0.04907396922476998,0.017923403746549615,-0.024950571388080083,0.009854423132176639,-0.1333592443889277,0.07092177956381561,0.06989322883404878,0.11884391084363453,-0.21047314489608746,-0.14759613158961388,0.07496499413576511,,,,,,,,,0.02496945531983007,-0.016724297005698677,0.021398994418824275,-0.07207692981805529,0.06628182198359639,0.1081610582227684,-0.00877187564093117,-0.01533407908679329,0.0035715736453074,-0.025025100374469998,-0.035138656992199334,-0.05919126921168583,-0.05115907885951692,-0.027149688958299917,-0.0409817297624084,0.08380018979374751,0.060084269092987926,0.040895319905932856,0.05990662163803867,,
Relative humidity (%),-0.35612096612583877,,-0.14882797782232576,1.0,0.9620093253683334,0.7050874731610064,0.9067027826041961,0.8417373655011153,0.7077967154536504,0.7307163477109924,0.9209775156728517,0.8432130028698545,-0.5129720194179476,-0.5577309271759282,-0.2520219017562153,-0.37787560568223416,,-0.42227311694471403,-0.414490061137481,-0.3753729161590583,-0.39760079449351216,-0.37493432596483073,-0.29540554891136717,-0.29851681342069675,-0.3967067201774809,-0.360708772271939,-0.5077232437899608,-0.5095246115017057,-0.2978960361445736,-0.3935950971042406,-0.007456030326886326,0.5544257633035916,0.5477704247452132,0.39730816298001426,0.5363776211459812,0.5243808250993811,0.5723703975502247,0.5774934698441492,0.5545253618749412,0.5585610449483726,0.26580807853447175,0.32145282149424526,0.1670052038098431,0.21219203279662385,-0.0106636474648465,-0.013261184552360755,0.040938395002899884,0.15092347682632878,0.48484892460882295,-0.2911365586657157,-0.2119678793545006,0.23879248452139143,0.2566396995556175,-0.14057965536827557,,,,,,,,,-0.018697466648483697,0.1914103764143244,-0.36970544466027894,-0.18556473669122903,0.3586842674585558,-0.4709864392450307,-0.3693107249071412,-0.36659039132531673,-0.2374646281859175,-0.3519061180583905,-0.33562192164541566,-0.3830507452377062,-0.3994895135347071,-0.37928094831966525,-0.3837458939310228,0.42323655127862964,0.468765814949551,0.36226931268301277,0.40339474777758005,,
Relative humidity (%)_lag_1h,-0.35662658445614204,,-0.12479341853659828,0.9620093253683334,1.0,0.6992051702467852,0.9620076814600863,0.9067002156642042,0.7681038794165884,0.7462256240565085,0.9747487095277183,0.9094291725557695,-0.5152188612748858,-0.5680474901380301,-0.23971099728803644,-0.3712494034457253,,-0.4108307904961451,-0.4222091274403256,-0.3700997160455662,-0.4144241423575261,-0.39753263732286814,-0.3149087576657286,-0.3004891631724035,-0.4124589837528002,-0.382629922206822,-0.5038996022521008,-0.5162704720782587,-0.2688604484125024,-0.3753368153683686,-0.007460106614457521,0.5537661207664001,0.554401620889118,0.40698246564702123,0.5477458245038858,0.5363522418539481,0.577857512594427,0.5852678882363539,0.5648583327003756,0.5678803511283461,0.26490580972400696,0.3243171380907939,0.1626494325274518,0.20939682746389965,-0.009727458590144022,-0.01583893761164055,0.04006339116528251,0.1508947152349866,0.4849608174772008,-0.2909154961982199,-0.24758979962513503,0.16405708851922607,0.3097620096075986,-0.16065858715984077,,,,,,,,,-0.01887800404457875,0.19157323467513862,-0.3694633812182832,-0.18610753370088698,0.35887690139384165,-0.4862246597372437,-0.353223128974468,-0.3692427728394407,-0.24176327986821847,-0.366558493255319,-0.35195617411251623,-0.39685387428733016,-0.4077392230869622,-0.39138267855516407,-0.3983366069601265,0.4391276981593849,0.47854856035372484,0.3761705125452989,0.42227339985635853,,
Relative humidity (%)_lag_24h,-0.31748950407811866,,-0.048162710969787484,0.7050874731610064,0.6992051702467852,1.0,0.6786218654229447,0.6462106354851509,0.5822602277926059,0.7460277677882625,0.6877292356608545,0.6513968765842577,-0.432988665086943,-0.5621461317771308,-0.226899330109448,-0.3257405125374327,,-0.4010932445580066,-0.3971669000355479,-0.42151099005028375,-0.38583092358405446,-0.3684475811492557,-0.2960713654923242,-0.30771442724694364,-0.3848077713808495,-0.3556778328598295,-0.463215352016574,-0.5137571786061865,-0.2895502853768511,-0.35832498407176155,-0.007479832881177149,0.41213442743548434,0.4102757201741469,0.5540858873783767,0.4086994471782718,0.4099894798026594,0.5020262345762202,0.5922301012096236,0.42366376361769614,0.4452445409353286,0.14151294791976846,0.2028215477957602,0.08423615765891061,0.10852289049257671,0.0017956807184097698,-0.04241068749637005,0.015372892555625075,0.14901245767970916,0.4892988139363769,-0.2828758380265666,-0.21216818701880139,0.23879970447201646,0.2566738528842512,-0.13374367114397656,,,,,,,,,-0.0236803477620983,0.19368361911678322,-0.36366056172678657,-0.19648593512920282,0.36262870572493144,-0.4534536151092066,-0.24200185872821717,-0.2422056988958603,-0.36988735107861836,-0.23953220419147217,-0.23740776505676758,-0.31305309231314643,-0.4098941447561546,-0.25877724893551646,-0.2774199217387397,0.3193758836896665,0.45750896635140176,0.2240106751254931,0.2629880617678394,,
Relative humidity (%)_lag_2h,-0.3564776735038182,,-0.08818817934803257,0.9067027826041961,0.9620076814600863,0.6786218654229447,1.0,0.9620077765033822,0.8235716509703049,0.7600175818390996,0.9935387379093387,0.9562302636373502,-0.5161396003775053,-0.5770220817623093,-0.2405883900855889,-0.364134825175641,,-0.3921195656706236,-0.4107690443936991,-0.358169287367901,-0.4221490217893458,-0.41436372119406883,-0.3331104980440647,-0.30218413868414007,-0.4168368604151629,-0.39788926026888394,-0.4987141144121359,-0.523049102822456,-0.25454173513831424,-0.3534987800709882,-0.007468192656474708,0.5527284513757267,0.5537371815275001,0.41815579776500567,0.5543727271662892,0.5477164568970089,0.5833213031674883,0.5924962294966319,0.5708139825845554,0.5761213371618874,0.2613896239574512,0.325338173624008,0.15923235813651707,0.20433629125983796,-0.008768274570812645,-0.018620601994493308,0.03894980883415373,0.1508156900159563,0.4851083826740492,-0.2906151497907377,-0.26677500394561,0.07811726840774101,0.34172154768983715,-0.1701273838755166,,,,,,,,,-0.018984795222334427,0.19173355774506085,-0.3693724792947631,-0.1866170473453292,0.35918811433642783,-0.4854202362248638,-0.33964106813306527,-0.353151765991805,-0.24334778813774366,-0.36920977555957285,-0.3666079613196997,-0.40846710998904473,-0.4147561128280373,-0.3918359883522247,-0.40755804884686286,0.4516689710532494,0.4855376869020554,0.374877514916279,0.43264591644798944,,
Relative humidity (%)_lag_3h,-0.3557931176400325,,-0.047521952654394045,0.8417373655011153,0.9067002156642042,0.6462106354851509,0.9620077765033822,1.0,0.871335578905318,0.7719860080378459,0.974746269015421,0.980226636428985,-0.5153905798802527,-0.5841310571115754,-0.2421675696787641,-0.35752790740605717,,-0.368450331992535,-0.39208415228627175,-0.34091844840612756,-0.41073654802964266,-0.422118475842674,-0.3489428752444027,-0.30361112037795424,-0.4093671808154142,-0.40523810542711103,-0.49121005565037573,-0.529389868673012,-0.24766431000926237,-0.3308828389452724,-0.007474524749964655,0.5503848624026273,0.5527070910728028,0.4295696655949833,0.5537158760647857,0.5543514564463428,0.5887533005926447,0.5991463357193295,0.572510826832461,0.5829293830182902,0.2561483344504752,0.32492344797264766,0.15762760938595702,0.19933147275387117,-0.008482488859060926,-0.021159946304961486,0.037787151198984965,0.1507209491984162,0.4853059083306678,-0.2902370083751206,-0.26605191699977965,-0.01316070321393968,0.35035123260539314,-0.1678316567250889,,,,,,,,,-0.01940328998625561,0.19187909754111068,-0.36922097213329286,-0.18716475044052744,0.3594919019481485,-0.4689471474762132,-0.3280794307999914,-0.3395920081688991,-0.24276946152957185,-0.3531255333885313,-0.3692451518101393,-0.4179172915218265,-0.4208319038257076,-0.38213354161220625,-0.41164378506703125,0.4620244921192623,0.4907207884491577,0.36262247801193015,0.4377479858298186,,
Relative humidity (%)_roll_mean_12h,-0.39906107201167046,,0.09943901799116657,0.7077967154536504,0.7681038794165884,0.5822602277926059,0.8235716509703049,0.871335578905318,1.0,0.9050977263347587,0.8369059965391485,0.9235654916316026,-0.5628409254663763,-0.6707678991400251,-0.26395370022974507,-0.3931106642564989,,-0.32587459849635303,-0.34721261719709623,-0.3084262953421799,-0.3677416141044206,-0.38601580108975725,-0.39857777608078027,-0.34894081581094294,-0.36794190459028875,-0.39168051615442656,-0.5075728360950813,-0.614235563561207,-0.2987320595799763,-0.3696054445106679,-0.008571575453257556,0.6118541038137014,0.6164332180196548,0.5267956371771494,0.6194841999899249,0.6207945866710871,0.6854457946463383,0.6998322271240867,0.6400792920865153,0.6618731448874188,0.266745466769448,0.353088045579931,0.1700537360372182,0.21135148434049356,-0.007767611680448324,-0.031093491421930637,0.03576236364661496,0.17017433599851672,0.5553177272816839,-0.3290621196078874,-0.09500520962720917,-0.20828144731074125,0.1481890784832655,-0.06341767479487272,,,,,,,,,-0.02394084993507824,0.21860291397123813,-0.42029619795007517,-0.2161309057327601,0.4119426121648531,-0.34120751615887424,-0.3391676166396684,-0.3503025171699472,-0.2753652601995822,-0.3605134408165904,-0.36871992837022566,-0.4786806820064429,-0.49467157322446237,-0.38841471451790005,-0.43012705954053626,0.5319875928345927,0.5681279470800197,0.3625245184292899,0.45084175393515097,,
Relative humidity (%)_roll_mean_24h,-0.42741763744607064,,0.09900847950994036,0.7307163477109924,0.7462256240565085,0.7460277677882625,0.7600175818390996,0.7719860080378459,0.9050977263347587,1.0,0.774127780863707,0.8168772619917705,-0.6017972361624725,-0.7354724708637201,-0.2912276066199211,-0.4260553137103725,,-0.3740716759530393,-0.37508962257384704,-0.3642790257817532,-0.3759026478586266,-0.3764237534474161,-0.3839351063496061,-0.3876726658321967,-0.376780764828485,-0.379320412988986,-0.577872486376115,-0.668013298056843,-0.3695760673826321,-0.45233324764017685,-0.009511701352278693,0.6130441407826523,0.6206705385470995,0.6148052258426345,0.6280150247325398,0.6348398308572345,0.7294526309222102,0.7755032663551981,0.6493225096567105,0.6815073206687475,0.25137604344233017,0.3429818012589942,0.15768991028080384,0.1986374708726175,-0.004153982123740256,-0.04162157438338208,0.032074888590304676,0.1856907381788256,0.6154829356791708,-0.3604845569178299,4.411643036691187e-05,-0.0004621702506064137,0.0001150071886530727,-0.0046650064421956735,,,,,,,,,-0.027905143272406025,0.24168198183647457,-0.46210722462870263,-0.24291634378414895,0.45681780714661263,-0.3179825750623709,-0.33785312746635504,-0.344502180691257,-0.34475296604035843,-0.35106605680813974,-0.3570660851018445,-0.47917591421924405,-0.5483257287645805,-0.3787288323255314,-0.41851762684177285,0.5205445931743186,0.6220081152353402,0.34087414611764827,0.42303552203658745,,
