,TARGET
consumption_per_log_sqm_lag_1h,0.9929251175800216
consumption_per_log_sqm_lag_168h,0.9805552722355181
consumption_per_log_sqm_roll_max_3h,0.9771445363405061
consumption_per_log_sqm_lag_336h,0.9763063395730671
consumption_per_log_sqm_roll_mean_3h,0.9761540271391536
consumption_per_log_sqm_lag_167h,0.9750094550611526
consumption_per_log_sqm_roll_median_3h,0.9749243256275059
consumption_per_log_sqm_lag_2h,0.9747604176388216
consumption_per_log_sqm_lag_169h,0.9741014783275043
consumption_per_log_sqm_lag_335h,0.9712160909096544
consumption_per_log_sqm_roll_min_3h,0.9695609936028593
consumption_per_log_sqm_lag_337h,0.9695535648172475
consumption_per_log_sqm_lag_3h,0.9480641117627842
consumption_per_log_sqm_roll_max_6h,0.9452794926392951
consumption_per_log_sqm_lag_24h,0.9449320503664725
consumption_per_log_sqm_roll_mean_6h,0.9417179769523089
consumption_per_log_sqm_lag_23h,0.9401790262914779
consumption_per_log_sqm_lag_25h,0.9391459866963979
consumption_per_log_sqm_roll_median_6h,0.935055226495272
consumption_per_log_sqm_roll_min_6h,0.9215717241338544
consumption_per_log_sqm_lag_4h,0.9161840764674638
consumption_per_log_sqm_roll_mean_24h,0.908019272178068
consumption_per_log_sqm_roll_max_24h,0.9000374158271524
consumption_per_log_sqm_roll_median_24h,0.8977244143640005
consumption_per_log_sqm_roll_mean_48h,0.8972009176370851
consumption_per_log_sqm_lag_48h,0.8958017362599345
consumption_per_log_sqm_roll_max_12h,0.8954899744198198
consumption_per_log_sqm_roll_mean_168h,0.8943355289500037
consumption_per_log_sqm_roll_mean_336h,0.8929415567835631
consumption_per_log_sqm_lag_47h,0.8919589593231314
consumption_per_log_sqm_roll_median_168h,0.8909317624840966
consumption_per_log_sqm_lag_49h,0.8907454790813802
consumption_per_log_sqm_roll_mean_72h,0.8899360122894181
consumption_per_log_sqm_roll_median_336h,0.8899316707155754
consumption_per_log_sqm_roll_max_48h,0.88669184384961
consumption_per_log_sqm_roll_median_48h,0.8840013025964827
consumption_per_log_sqm_lag_72h,0.8825772804143684
consumption_per_log_sqm_roll_max_72h,0.8813452586676764
consumption_per_log_sqm_lag_5h,0.88114724123584
consumption_per_log_sqm_lag_71h,0.8787203476092952
