,TARGET
building_size_m2,0.8233151681795067
hour,0.07748346551586167
Mean wind speed,0.05138651781977938
temp_x_hour,0.04440486283827747
air temperature,0.027419678697448283
Atm pressure mm of mercury,0.008000788649516581
visibility,0.002691172975623499
dewpoint temperature,-0.004162255713679003
Max gust value,-0.004520577727864243
dayofyear,-0.014333534209373047
month,-0.014529699759465026
weekofyear,-0.014937709255381624
quarter,-0.01581865895080809
hour_x_dayofweek,-0.03788392375703116
Relative humidity (%),-0.0638641639961719
dayofweek,-0.10867472034099095
Mean wind direction,
Unnamed: 9,
year,
