,TARGET
building_size_m2,0.8034436705522845
hour,0.07877543514863711
Mean wind speed,0.0563677973953285
temp_x_hour,0.032052388666742204
air temperature,0.013057505512674913
Atm pressure mm of mercury,0.005833124045358891
visibility,-0.005271635974832047
Max gust value,-0.008461180829373489
dewpoint temperature,-0.015877731878430702
dayofyear,-0.021715586574428937
weekofyear,-0.021890838366353787
month,-0.022043813835148467
quarter,-0.022986016952309025
hour_x_dayofweek,-0.040906975897675425
Relative humidity (%),-0.05506624579005424
dayofweek,-0.11408821670944742
Mean wind direction,
Unnamed: 9,
year,
