feature,cover,gain,weight
Atm pressure mm of mercury,483.5092468261719,12.6947603225708,3517.0
Mean wind speed,884.6040649414062,15.455955505371094,2023.0
Relative humidity (%),291.2941589355469,24.4139347076416,1557.0
Relative humidity (%)_lag_1h,986.1810913085938,40.92640686035156,900.0
Relative humidity (%)_lag_24h,443.31829833984375,22.718568801879883,1153.0
Relative humidity (%)_lag_2h,1020.6033935546875,20.364248275756836,527.0
Relative humidity (%)_lag_3h,1184.431884765625,28.415695190429688,565.0
Relative humidity (%)_roll_mean_12h,847.4337768554688,38.06297302246094,770.0
Relative humidity (%)_roll_mean_24h,2333.344482421875,57.334922790527344,717.0
Relative humidity (%)_roll_mean_3h,2654.482177734375,47.10386276245117,280.0
Relative humidity (%)_roll_mean_6h,2004.166259765625,46.90772247314453,397.0
Relative humidity (%)_roll_std_12h,544.9191284179688,32.46575164794922,903.0
Relative humidity (%)_roll_std_24h,1052.816650390625,31.183500289916992,791.0
Relative humidity (%)_roll_std_3h,431.0207214355469,26.44780921936035,965.0
Relative humidity (%)_roll_std_6h,1090.689697265625,34.8271369934082,928.0
air temperature,500.8744201660156,100.7650375366211,653.0
air temperature_lag_1h,830.9679565429688,81.93429565429688,343.0
air temperature_lag_24h,2296.936279296875,57.83662414550781,580.0
air temperature_lag_2h,1924.3951416015625,66.1379623413086,291.0
air temperature_lag_3h,936.8843383789062,51.4760627746582,268.0
air temperature_roll_mean_12h,1863.59521484375,131.5779571533203,578.0
air temperature_roll_mean_24h,1897.3187255859375,130.38580322265625,549.0
air temperature_roll_mean_3h,1706.1220703125,74.99504852294922,213.0
air temperature_roll_mean_6h,1055.4656982421875,104.49977111816406,277.0
air temperature_roll_std_12h,1554.3074951171875,52.87388229370117,761.0
air temperature_roll_std_24h,1419.80859375,46.748008728027344,695.0
air temperature_roll_std_3h,2298.50634765625,41.43490982055664,555.0
air temperature_roll_std_6h,713.8364868164062,86.62422180175781,630.0
air temperature_x_hour,1564.8336181640625,134.55552673339844,547.0
building_size_m2,1249.196533203125,643.9496459960938,799.0
building_size_m2_x_air temperature,7043.3212890625,218.6283416748047,815.0
building_size_m2_x_cloud_cover,1779.2353515625,40.075801849365234,493.0
building_size_m2_x_hour_cos,5883.03271484375,1883.6534423828125,1499.0
building_size_m2_x_hour_sin,6927.98876953125,2537.118896484375,1486.0
cloud_cover_percentage,623.4918212890625,40.71632385253906,61.0
cloud_cover_percentage_lag_1h,295.58013916015625,59.0423469543457,131.0
cloud_cover_percentage_lag_24h,915.816162109375,34.441314697265625,223.0
cloud_cover_percentage_lag_2h,115.66101837158203,29.6855525970459,118.0
cloud_cover_percentage_lag_3h,154.622802734375,35.89295959472656,114.0
cloud_cover_percentage_roll_mean_12h,878.943115234375,60.14984893798828,299.0
cloud_cover_percentage_roll_mean_24h,1655.79736328125,60.60736083984375,375.0
cloud_cover_percentage_roll_mean_3h,238.1049346923828,45.48861312866211,162.0
cloud_cover_percentage_roll_mean_6h,1054.699951171875,57.393367767333984,200.0
cloud_cover_percentage_roll_std_12h,1007.3313598632812,41.00971984863281,513.0
cloud_cover_percentage_roll_std_24h,854.9356079101562,44.84087371826172,466.0
cloud_cover_percentage_roll_std_3h,2057.26171875,32.031578063964844,409.0
cloud_cover_percentage_roll_std_6h,1459.566650390625,46.20096206665039,443.0
consumption_per_log_sqm_lag_12h,1202.4078369140625,361.2381286621094,792.0
consumption_per_log_sqm_lag_167h,4415.08203125,17927.0703125,1828.0
consumption_per_log_sqm_lag_168h,5856.1298828125,127038.796875,907.0
consumption_per_log_sqm_lag_169h,5245.48681640625,259.8666687011719,1379.0
consumption_per_log_sqm_lag_1h,11617.5751953125,751711.875,3716.0
consumption_per_log_sqm_lag_23h,5165.39501953125,4874.10546875,1213.0
consumption_per_log_sqm_lag_24h,5172.07763671875,5784.2431640625,618.0
consumption_per_log_sqm_lag_25h,7304.42919921875,69.88114166259766,722.0
consumption_per_log_sqm_lag_2h,15102.9951171875,517.405517578125,1052.0
consumption_per_log_sqm_lag_335h,4971.1591796875,3342.230712890625,1174.0
consumption_per_log_sqm_lag_336h,5332.97314453125,7691.3232421875,676.0
consumption_per_log_sqm_lag_337h,4990.0380859375,93.40583038330078,819.0
consumption_per_log_sqm_lag_3h,12597.16796875,367.13836669921875,808.0
consumption_per_log_sqm_lag_47h,3464.802978515625,549.8471069335938,731.0
consumption_per_log_sqm_lag_48h,3683.34228515625,269.4742736816406,479.0
consumption_per_log_sqm_lag_49h,1745.7913818359375,51.543235778808594,465.0
consumption_per_log_sqm_lag_4h,13271.03515625,75.6946792602539,767.0
consumption_per_log_sqm_lag_5h,7982.86572265625,79.95136260986328,506.0
consumption_per_log_sqm_lag_6h,3791.9736328125,120.61036682128906,417.0
consumption_per_log_sqm_lag_71h,3270.945556640625,218.31422424316406,828.0
consumption_per_log_sqm_lag_72h,2994.69970703125,72.12474060058594,453.0
consumption_per_log_sqm_lag_73h,2521.850830078125,71.73954010009766,516.0
consumption_per_log_sqm_roll_max_12h,2514.282470703125,1469.6058349609375,478.0
consumption_per_log_sqm_roll_max_168h,1778.1947021484375,158.0577392578125,647.0
consumption_per_log_sqm_roll_max_24h,3550.870849609375,838.6702880859375,457.0
consumption_per_log_sqm_roll_max_3h,8365.6611328125,603623.75,617.0
consumption_per_log_sqm_roll_max_48h,3313.6279296875,55.376895904541016,371.0
consumption_per_log_sqm_roll_max_6h,5503.8271484375,7377.25927734375,266.0
consumption_per_log_sqm_roll_mean_12h,1451.2200927734375,66.49844360351562,359.0
consumption_per_log_sqm_roll_mean_168h,1590.040771484375,668.2725830078125,466.0
consumption_per_log_sqm_roll_mean_24h,2609.934814453125,275.6749267578125,430.0
consumption_per_log_sqm_roll_mean_3h,14800.0302734375,416432.15625,295.0
consumption_per_log_sqm_roll_mean_48h,1702.013916015625,168.62611389160156,358.0
consumption_per_log_sqm_roll_mean_6h,9736.029296875,72.36698913574219,238.0
consumption_per_log_sqm_roll_median_12h,2120.45263671875,419.1119079589844,327.0
consumption_per_log_sqm_roll_median_168h,2860.31640625,204.7697296142578,411.0
consumption_per_log_sqm_roll_median_24h,3037.554443359375,359.535888671875,431.0
consumption_per_log_sqm_roll_median_3h,11544.4638671875,7422.5,347.0
consumption_per_log_sqm_roll_median_48h,4631.017578125,55.01681137084961,342.0
consumption_per_log_sqm_roll_median_6h,6897.45361328125,79.77503204345703,216.0
consumption_per_log_sqm_roll_min_12h,3490.18896484375,139.6387939453125,402.0
consumption_per_log_sqm_roll_min_168h,2719.861572265625,184.28810119628906,383.0
consumption_per_log_sqm_roll_min_24h,4329.0888671875,1048.2144775390625,372.0
consumption_per_log_sqm_roll_min_3h,7220.27392578125,10197.09375,511.0
consumption_per_log_sqm_roll_min_48h,3252.7255859375,383.3518981933594,317.0
consumption_per_log_sqm_roll_min_6h,14196.3623046875,645.0931396484375,353.0
consumption_per_log_sqm_roll_std_12h,1841.6290283203125,100.13391876220703,798.0
consumption_per_log_sqm_roll_std_168h,2300.30126953125,65.0807113647461,697.0
consumption_per_log_sqm_roll_std_24h,2226.81787109375,101.19577026367188,560.0
