feature,cover,gain,weight
Atm pressure mm of mercury,23.73137855529785,0.5348498225212097,201064.0
Mean wind speed,45.6054801940918,0.5545346736907959,95506.0
Relative humidity (%),67.2292709350586,0.6224167346954346,70210.0
Relative humidity (%)_lag_1h,108.56298065185547,0.9756500124931335,38463.0
Relative humidity (%)_lag_24h,93.7708511352539,0.7658977508544922,45242.0
Relative humidity (%)_lag_2h,131.14671325683594,0.8348754644393921,25445.0
Relative humidity (%)_lag_3h,111.49034118652344,1.1371818780899048,22519.0
Relative humidity (%)_roll_mean_12h,147.73703002929688,1.4478498697280884,27197.0
Relative humidity (%)_roll_mean_24h,155.05726623535156,1.776090383529663,22177.0
Relative humidity (%)_roll_mean_3h,286.60626220703125,1.6455364227294922,7454.0
Relative humidity (%)_roll_mean_6h,263.4817199707031,1.5475651025772095,11567.0
Relative humidity (%)_roll_std_12h,189.66017150878906,1.2370744943618774,32678.0
Relative humidity (%)_roll_std_24h,161.76043701171875,1.4506504535675049,23764.0
Relative humidity (%)_roll_std_3h,149.47706604003906,1.0208032131195068,30822.0
Relative humidity (%)_roll_std_6h,199.32957458496094,1.3202062845230103,27900.0
air temperature,85.82380676269531,18.540264129638672,16266.0
air temperature_cubed,136.97019958496094,20.161319732666016,3087.0
air temperature_lag_1h,195.93814086914062,3.683365821838379,6983.0
air temperature_lag_24h,194.9674835205078,2.38381028175354,13996.0
air temperature_lag_2h,215.0995330810547,2.453758478164673,6390.0
air temperature_lag_3h,216.09133911132812,3.0959882736206055,5868.0
air temperature_roll_mean_12h,240.90484619140625,5.178040981292725,11055.0
air temperature_roll_mean_24h,256.8183288574219,5.965768337249756,8394.0
air temperature_roll_mean_3h,473.2006530761719,9.573540687561035,3020.0
air temperature_roll_mean_6h,379.5808410644531,2.733289957046509,4559.0
air temperature_roll_std_12h,201.74307250976562,1.858996033668518,22532.0
air temperature_roll_std_24h,241.8450927734375,1.8691116571426392,18980.0
air temperature_roll_std_3h,327.5845642089844,1.752047061920166,14828.0
air temperature_roll_std_6h,215.9984130859375,1.9152624607086182,20072.0
air temperature_sq,222.04217529296875,5.519761562347412,5501.0
air temperature_x_hour,257.3662414550781,4.155776023864746,12101.0
air temperature_x_is_weekend,425.329345703125,5.561784267425537,3434.0
air temperature_x_season_Autumn,637.3978271484375,4.345920562744141,4464.0
air temperature_x_season_Spring,684.9257202148438,4.475700855255127,4740.0
air temperature_x_season_Summer,324.8247985839844,48.60544204711914,1330.0
air temperature_x_season_Winter,483.70855712890625,5.11395263671875,2316.0
building_size_m2,395.2192687988281,1437.138671875,9682.0
building_size_m2_x_air temperature,623.7493896484375,17.42713165283203,11365.0
building_size_m2_x_cloud_cover,187.0667724609375,1.7124969959259033,12147.0
building_size_m2_x_hour_cos,718.9961547851562,166.85702514648438,18342.0
building_size_m2_x_hour_sin,687.6607666015625,187.53147888183594,16091.0
cdd,340.0,686.5,1.0
cloud_cover_percentage,225.00830078125,1.0662907361984253,1927.0
cloud_cover_percentage_lag_1h,91.64749908447266,1.0758346319198608,4312.0
cloud_cover_percentage_lag_24h,126.51673126220703,1.0422595739364624,7441.0
cloud_cover_percentage_lag_2h,110.05326080322266,1.034202218055725,4262.0
cloud_cover_percentage_lag_3h,124.1626968383789,1.3886419534683228,4198.0
cloud_cover_percentage_roll_mean_12h,210.5260772705078,2.4798076152801514,8687.0
cloud_cover_percentage_roll_mean_24h,310.968994140625,3.6986358165740967,8900.0
cloud_cover_percentage_roll_mean_3h,180.2995147705078,1.6802992820739746,3943.0
cloud_cover_percentage_roll_mean_6h,229.0335235595703,2.389996290206909,5340.0
cloud_cover_percentage_roll_std_12h,179.19842529296875,1.663108229637146,12912.0
cloud_cover_percentage_roll_std_24h,239.95645141601562,1.7841949462890625,12766.0
cloud_cover_percentage_roll_std_3h,215.819091796875,1.6942083835601807,10270.0
cloud_cover_percentage_roll_std_6h,323.75518798828125,1.9550641775131226,11491.0
consumption_per_log_sqm_lag_12h,209.05313110351562,10.78105354309082,17411.0
consumption_per_log_sqm_lag_167h,430.2547607421875,1551.32666015625,19834.0
consumption_per_log_sqm_lag_168h,445.38201904296875,9711.1220703125,12779.0
consumption_per_log_sqm_lag_169h,372.2257080078125,6.445161819458008,12759.0
consumption_per_log_sqm_lag_1h,2544.05322265625,166195.625,20033.0
consumption_per_log_sqm_lag_23h,552.9254150390625,307.025634765625,15156.0
consumption_per_log_sqm_lag_24h,658.1693725585938,669.9191284179688,10054.0
consumption_per_log_sqm_lag_25h,559.6625366210938,3.5701589584350586,10276.0
consumption_per_log_sqm_lag_2h,814.0900268554688,1072.5863037109375,11297.0
consumption_per_log_sqm_lag_335h,501.9960021972656,320.9080505371094,16010.0
consumption_per_log_sqm_lag_336h,495.7447509765625,116.8122329711914,10794.0
consumption_per_log_sqm_lag_337h,450.61138916015625,4.0799031257629395,10957.0
consumption_per_log_sqm_lag_3h,1485.3922119140625,65.81033325195312,9384.0
consumption_per_log_sqm_lag_47h,413.3152160644531,36.2198371887207,12540.0
consumption_per_log_sqm_lag_48h,476.04498291015625,46.17805099487305,8961.0
consumption_per_log_sqm_lag_49h,481.93426513671875,2.5222768783569336,8748.0
consumption_per_log_sqm_lag_4h,1967.934814453125,30.87148094177246,10672.0
consumption_per_log_sqm_lag_5h,586.244384765625,26.75726318359375,8286.0
consumption_per_log_sqm_lag_6h,571.1898193359375,24.79880142211914,7654.0
consumption_per_log_sqm_lag_71h,394.5391540527344,13.264127731323242,12154.0
consumption_per_log_sqm_lag_72h,430.7723083496094,6.039734840393066,8362.0
consumption_per_log_sqm_lag_73h,423.0721130371094,3.110502004623413,8945.0
consumption_per_log_sqm_roll_max_12h,361.8630065917969,150.19642639160156,5212.0
consumption_per_log_sqm_roll_max_168h,279.50091552734375,6.291890621185303,6500.0
consumption_per_log_sqm_roll_max_24h,470.335693359375,122.49882507324219,5091.0
consumption_per_log_sqm_roll_max_336h,320.8288879394531,17.395139694213867,5049.0
consumption_per_log_sqm_roll_max_3h,1788.3546142578125,185508.703125,3911.0
consumption_per_log_sqm_roll_max_48h,306.3489074707031,2.929804801940918,4815.0
consumption_per_log_sqm_roll_max_6h,671.4563598632812,835.4171752929688,3116.0
consumption_per_log_sqm_roll_max_72h,382.0518798828125,11.48789119720459,4375.0
consumption_per_log_sqm_roll_mean_12h,752.5794677734375,4.0222859382629395,6278.0
consumption_per_log_sqm_roll_mean_168h,421.58111572265625,15.18344497680664,4555.0
consumption_per_log_sqm_roll_mean_24h,534.3331298828125,9.778388977050781,5043.0
consumption_per_log_sqm_roll_mean_336h,499.08978271484375,12.468223571777344,4155.0
consumption_per_log_sqm_roll_mean_3h,1442.0897216796875,101392.5234375,3267.0
