feature,cover,gain,weight
Atm pressure mm of mercury,81.9791030883789,60.67927169799805,622.0
Mean wind speed,86.0678482055664,61.22815704345703,339.0
Relative humidity (%),304.5543212890625,65.00557708740234,267.0
Relative humidity (%)_lag_1h,2327.4912109375,142.73277282714844,226.0
Relative humidity (%)_lag_24h,67.29107666015625,70.7693862915039,213.0
Relative humidity (%)_lag_2h,164.58677673339844,64.44981384277344,121.0
Relative humidity (%)_lag_3h,83.07527160644531,71.35441589355469,93.0
Relative humidity (%)_roll_mean_12h,523.5657348632812,133.1886444091797,175.0
Relative humidity (%)_roll_mean_24h,1202.13525390625,189.90846252441406,170.0
Relative humidity (%)_roll_mean_3h,576.015625,109.51195526123047,64.0
Relative humidity (%)_roll_mean_6h,301.0389709472656,122.20708465576172,77.0
Relative humidity (%)_roll_std_12h,243.90968322753906,78.64835357666016,155.0
Relative humidity (%)_roll_std_24h,215.6437530517578,91.10713958740234,160.0
Relative humidity (%)_roll_std_3h,70.11111450195312,70.34907531738281,171.0
Relative humidity (%)_roll_std_6h,267.44171142578125,89.86117553710938,163.0
air temperature,1112.7313232421875,1102.2940673828125,294.0
air temperature_lag_1h,301.02325439453125,237.7398223876953,86.0
air temperature_lag_24h,2187.397705078125,150.57032775878906,181.0
air temperature_lag_2h,350.6901550292969,213.3770294189453,71.0
air temperature_lag_3h,396.015380859375,166.35086059570312,65.0
air temperature_roll_mean_12h,1243.234130859375,323.2210998535156,205.0
air temperature_roll_mean_24h,1300.4893798828125,292.1596374511719,235.0
air temperature_roll_mean_3h,559.91357421875,313.2493591308594,81.0
air temperature_roll_mean_6h,629.9647216796875,201.65892028808594,85.0
air temperature_roll_std_12h,1310.7484130859375,198.18321228027344,155.0
air temperature_roll_std_24h,656.830078125,143.30714416503906,153.0
air temperature_roll_std_3h,433.45098876953125,154.6569061279297,102.0
air temperature_roll_std_6h,360.66943359375,323.75860595703125,121.0
air temperature_x_hour,1897.9368896484375,316.1871643066406,206.0
building_size_m2,1788.31103515625,1142.75341796875,389.0
building_size_m2_x_air temperature,3473.975341796875,630.1828002929688,324.0
building_size_m2_x_cloud_cover,1374.2982177734375,151.5426483154297,114.0
building_size_m2_x_hour_cos,3728.56591796875,2851.12109375,857.0
building_size_m2_x_hour_sin,3699.095947265625,7306.51220703125,812.0
cloud_cover_percentage,351.3157958984375,426.689453125,19.0
cloud_cover_percentage_lag_1h,75.45833587646484,148.4433135986328,24.0
cloud_cover_percentage_lag_24h,88.20587921142578,80.61061096191406,34.0
cloud_cover_percentage_lag_2h,37.08333206176758,67.66810607910156,24.0
cloud_cover_percentage_lag_3h,75.76470947265625,170.58677673339844,17.0
cloud_cover_percentage_roll_mean_12h,848.0235595703125,242.3957061767578,85.0
cloud_cover_percentage_roll_mean_24h,1601.164794921875,179.9586181640625,91.0
cloud_cover_percentage_roll_mean_3h,381.23333740234375,129.59375,30.0
cloud_cover_percentage_roll_mean_6h,244.7954559326172,150.7155303955078,44.0
cloud_cover_percentage_roll_std_12h,297.42266845703125,109.8115234375,97.0
cloud_cover_percentage_roll_std_24h,232.90908813476562,113.34856414794922,99.0
cloud_cover_percentage_roll_std_3h,191.96665954589844,112.75701141357422,60.0
cloud_cover_percentage_roll_std_6h,1430.2525634765625,131.7040252685547,99.0
consumption_per_log_sqm_lag_12h,559.1383666992188,1085.2332763671875,224.0
consumption_per_log_sqm_lag_167h,4090.151123046875,49600.66796875,834.0
consumption_per_log_sqm_lag_168h,3925.560302734375,417265.9375,382.0
consumption_per_log_sqm_lag_169h,4626.14111328125,621.2731323242188,842.0
consumption_per_log_sqm_lag_1h,10730.654296875,1239989.25,2868.0
consumption_per_log_sqm_lag_23h,3919.230224609375,13836.2890625,521.0
consumption_per_log_sqm_lag_24h,3203.81982421875,39162.46875,222.0
consumption_per_log_sqm_lag_25h,3710.5205078125,195.3721160888672,267.0
consumption_per_log_sqm_lag_2h,5996.7646484375,944.58740234375,395.0
consumption_per_log_sqm_lag_335h,4265.68212890625,12888.537109375,503.0
consumption_per_log_sqm_lag_336h,2650.360595703125,1925.2940673828125,183.0
consumption_per_log_sqm_lag_337h,2970.766357421875,266.3635559082031,244.0
consumption_per_log_sqm_lag_3h,4519.3037109375,1990.713134765625,303.0
consumption_per_log_sqm_lag_47h,2763.970703125,1760.8841552734375,204.0
consumption_per_log_sqm_lag_48h,1530.2908935546875,197.10470581054688,110.0
consumption_per_log_sqm_lag_49h,998.4807739257812,165.017333984375,104.0
consumption_per_log_sqm_lag_4h,3092.768798828125,1003.6467895507812,173.0
consumption_per_log_sqm_lag_5h,3124.217041015625,1292.687744140625,152.0
consumption_per_log_sqm_lag_6h,2886.581787109375,1035.582763671875,110.0
consumption_per_log_sqm_lag_71h,2540.815673828125,854.2735595703125,217.0
consumption_per_log_sqm_lag_72h,2311.019775390625,178.75465393066406,101.0
consumption_per_log_sqm_lag_73h,1341.45654296875,190.3680419921875,138.0
consumption_per_log_sqm_roll_max_12h,1109.78125,2655.4404296875,128.0
consumption_per_log_sqm_roll_max_168h,2171.876708984375,826.8971557617188,138.0
consumption_per_log_sqm_roll_max_24h,4525.24609375,3014.002685546875,134.0
consumption_per_log_sqm_roll_max_3h,7708.30224609375,1203775.875,377.0
consumption_per_log_sqm_roll_max_48h,1620.0494384765625,307.3393859863281,81.0
consumption_per_log_sqm_roll_max_6h,4740.15625,7162.57470703125,141.0
consumption_per_log_sqm_roll_mean_12h,1458.8477783203125,482.8594055175781,92.0
consumption_per_log_sqm_roll_mean_168h,939.6555786132812,1064.6900634765625,90.0
consumption_per_log_sqm_roll_mean_24h,4123.53173828125,313.6995849609375,126.0
consumption_per_log_sqm_roll_mean_3h,7227.072265625,1786636.125,83.0
consumption_per_log_sqm_roll_mean_48h,452.3662109375,185.89356994628906,71.0
consumption_per_log_sqm_roll_mean_6h,916.7894897460938,615.5134887695312,38.0
