feature,cover,gain,weight
Atm pressure mm of mercury,352.68548583984375,30.686994552612305,2197.0
Mean wind speed,909.8970947265625,37.92218017578125,1098.0
Relative humidity (%),312.5445861816406,35.37975311279297,931.0
Relative humidity (%)_lag_1h,805.439697265625,59.678977966308594,655.0
Relative humidity (%)_lag_24h,194.96685791015625,42.90055847167969,694.0
Relative humidity (%)_lag_2h,1107.3587646484375,35.331661224365234,407.0
Relative humidity (%)_lag_3h,626.7869873046875,38.91594314575195,385.0
Relative humidity (%)_roll_mean_12h,476.3059387207031,63.013824462890625,523.0
Relative humidity (%)_roll_mean_24h,2807.739501953125,83.98432159423828,457.0
Relative humidity (%)_roll_mean_3h,1576.2373046875,66.3785400390625,177.0
Relative humidity (%)_roll_mean_6h,1339.6256103515625,65.0294189453125,211.0
Relative humidity (%)_roll_std_12h,901.8349609375,49.13954162597656,618.0
Relative humidity (%)_roll_std_24h,1207.6474609375,50.658851623535156,485.0
Relative humidity (%)_roll_std_3h,316.9962158203125,39.867374420166016,530.0
Relative humidity (%)_roll_std_6h,1487.964111328125,53.774574279785156,530.0
air temperature,659.9404907226562,854.153076171875,521.0
air temperature_lag_1h,1450.5938720703125,120.605224609375,229.0
air temperature_lag_24h,2519.12109375,82.19002532958984,405.0
air temperature_lag_2h,1621.721923828125,106.32930755615234,205.0
air temperature_lag_3h,836.5647583007812,123.4772720336914,193.0
air temperature_roll_mean_12h,1173.134033203125,165.90884399414062,403.0
air temperature_roll_mean_24h,855.2885131835938,158.8793487548828,409.0
air temperature_roll_mean_3h,1744.2138671875,201.93296813964844,173.0
air temperature_roll_mean_6h,1939.0283203125,172.9116973876953,212.0
air temperature_roll_std_12h,1324.761474609375,92.92976379394531,524.0
air temperature_roll_std_24h,1340.2391357421875,88.79400634765625,439.0
air temperature_roll_std_3h,2247.04296875,89.39893341064453,349.0
air temperature_roll_std_6h,783.5404052734375,90.02481842041016,433.0
air temperature_sq,1920.0804443359375,347.78240966796875,174.0
air temperature_x_hour,2063.906982421875,152.70591735839844,419.0
air temperature_x_is_weekend,3158.9521484375,222.25338745117188,167.0
air temperature_x_season_Autumn,3778.716796875,112.68511962890625,226.0
air temperature_x_season_Spring,3229.27587890625,108.70230102539062,203.0
air temperature_x_season_Summer,781.3261108398438,497.1492919921875,92.0
air temperature_x_season_Winter,5019.24658203125,77.76298522949219,69.0
building_size_m2,1066.41552734375,665.685791015625,633.0
building_size_m2_x_air temperature,4965.2568359375,419.5855712890625,639.0
building_size_m2_x_cloud_cover,1238.659423828125,78.17654418945312,367.0
building_size_m2_x_hour_cos,5352.0576171875,1787.164306640625,1316.0
building_size_m2_x_hour_sin,5516.89306640625,4313.9853515625,1421.0
cdd,1499.75,2325.012939453125,4.0
cloud_cover_percentage,297.6956481933594,75.7225341796875,23.0
cloud_cover_percentage_lag_1h,60.69620132446289,38.56732940673828,79.0
cloud_cover_percentage_lag_24h,66.48412322998047,41.08795166015625,126.0
cloud_cover_percentage_lag_2h,326.5,52.07489776611328,70.0
cloud_cover_percentage_lag_3h,381.0,50.10483169555664,75.0
cloud_cover_percentage_roll_mean_12h,365.43939208984375,80.14839935302734,198.0
cloud_cover_percentage_roll_mean_24h,2837.58837890625,125.90965270996094,260.0
cloud_cover_percentage_roll_mean_3h,474.55767822265625,106.47740173339844,104.0
cloud_cover_percentage_roll_mean_6h,1573.360595703125,74.39075469970703,122.0
cloud_cover_percentage_roll_std_12h,427.1315002441406,64.01937866210938,289.0
cloud_cover_percentage_roll_std_24h,1431.241455078125,62.803192138671875,323.0
cloud_cover_percentage_roll_std_3h,427.17059326171875,57.32474899291992,170.0
cloud_cover_percentage_roll_std_6h,2060.6455078125,71.64348602294922,282.0
consumption_per_log_sqm_lag_12h,1003.4789428710938,296.0751647949219,618.0
consumption_per_log_sqm_lag_167h,4009.3193359375,56232.5234375,1378.0
consumption_per_log_sqm_lag_168h,3124.12353515625,127280.796875,615.0
consumption_per_log_sqm_lag_169h,4246.697265625,376.6424560546875,1018.0
consumption_per_log_sqm_lag_1h,10001.0576171875,1007779.4375,3375.0
consumption_per_log_sqm_lag_23h,2829.143798828125,9081.4111328125,834.0
consumption_per_log_sqm_lag_24h,2591.868896484375,9843.1064453125,389.0
consumption_per_log_sqm_lag_25h,2930.122802734375,226.80789184570312,497.0
consumption_per_log_sqm_lag_2h,8808.3515625,577.847900390625,757.0
consumption_per_log_sqm_lag_335h,3684.03125,11053.83203125,895.0
consumption_per_log_sqm_lag_336h,2224.60009765625,1047.9144287109375,430.0
consumption_per_log_sqm_lag_337h,2606.5986328125,181.4469757080078,543.0
consumption_per_log_sqm_lag_3h,6917.2490234375,1047.888671875,486.0
consumption_per_log_sqm_lag_47h,1631.788330078125,714.1445922851562,482.0
consumption_per_log_sqm_lag_48h,2088.1064453125,740.8773803710938,338.0
consumption_per_log_sqm_lag_49h,993.1182250976562,88.3667221069336,296.0
consumption_per_log_sqm_lag_4h,6829.88671875,516.985595703125,538.0
consumption_per_log_sqm_lag_5h,6269.84912109375,680.5422973632812,364.0
consumption_per_log_sqm_lag_6h,1875.0823974609375,437.2425231933594,279.0
consumption_per_log_sqm_lag_71h,2056.0419921875,474.8742980957031,499.0
consumption_per_log_sqm_lag_72h,2966.152099609375,114.4935073852539,322.0
consumption_per_log_sqm_lag_73h,924.5267944335938,98.9533920288086,336.0
consumption_per_log_sqm_roll_max_12h,914.9307861328125,1805.509521484375,260.0
consumption_per_log_sqm_roll_max_168h,1858.7491455078125,258.2480773925781,303.0
consumption_per_log_sqm_roll_max_24h,2685.74609375,1465.8900146484375,252.0
consumption_per_log_sqm_roll_max_3h,8097.64697265625,977062.4375,422.0
consumption_per_log_sqm_roll_max_48h,1801.75,214.01315307617188,204.0
consumption_per_log_sqm_roll_max_6h,7969.60107421875,6681.64111328125,188.0
consumption_per_log_sqm_roll_mean_12h,1323.075927734375,206.20860290527344,224.0
consumption_per_log_sqm_roll_mean_168h,1396.885986328125,453.0166015625,263.0
consumption_per_log_sqm_roll_mean_24h,3029.55078125,266.12103271484375,236.0
consumption_per_log_sqm_roll_mean_3h,12355.515625,403467.5625,196.0
consumption_per_log_sqm_roll_mean_48h,3459.115234375,85.36184692382812,191.0
consumption_per_log_sqm_roll_mean_6h,2203.0615234375,149.9212188720703,114.0
consumption_per_log_sqm_roll_median_12h,2117.009521484375,188.10427856445312,208.0
consumption_per_log_sqm_roll_median_168h,2397.64501953125,364.4045104980469,245.0
consumption_per_log_sqm_roll_median_24h,2603.946533203125,420.5685729980469,206.0
consumption_per_log_sqm_roll_median_3h,6826.12158203125,161036.0625,214.0
consumption_per_log_sqm_roll_median_48h,1373.9666748046875,120.70497131347656,180.0
consumption_per_log_sqm_roll_median_6h,2716.7421875,395.9364929199219,128.0
consumption_per_log_sqm_roll_min_12h,3246.908447265625,183.01898193359375,273.0
consumption_per_log_sqm_roll_min_168h,2727.102294921875,952.2611083984375,293.0
consumption_per_log_sqm_roll_min_24h,4684.6826171875,2401.7314453125,315.0
consumption_per_log_sqm_roll_min_3h,5090.6376953125,17944.73828125,406.0
consumption_per_log_sqm_roll_min_48h,3138.40380859375,972.4647827148438,213.0
consumption_per_log_sqm_roll_min_6h,10179.3251953125,2453.82958984375,246.0
consumption_per_log_sqm_roll_std_12h,1489.5211181640625,145.63792419433594,593.0
consumption_per_log_sqm_roll_std_168h,1309.894287109375,99.67455291748047,558.0
consumption_per_log_sqm_roll_std_24h,2299.40185546875,132.23143005371094,418.0
consumption_per_log_sqm_roll_std_3h,2581.59228515625,1652.150390625,1697.0
consumption_per_log_sqm_roll_std_48h,1825.2952880859375,124.8302230834961,386.0
consumption_per_log_sqm_roll_std_6h,2293.744873046875,210.4071502685547,639.0
consumption_per_sqm_lag_12h,3622.168701171875,124.62457275390625,255.0
consumption_per_sqm_lag_167h,2879.740478515625,734.4412231445312,609.0
consumption_per_sqm_lag_168h,3992.92431640625,519.8612670898438,409.0
consumption_per_sqm_lag_169h,5438.12548828125,437.5166931152344,918.0
consumption_per_sqm_lag_1h,9732.697265625,3418.59130859375,1082.0
consumption_per_sqm_lag_23h,4340.931640625,292.6088562011719,396.0
consumption_per_sqm_lag_24h,4072.28564453125,232.3611297607422,252.0
consumption_per_sqm_lag_25h,6580.767578125,150.17568969726562,443.0
consumption_per_sqm_lag_2h,9032.876953125,634.6004028320312,739.0
consumption_per_sqm_lag_335h,2889.531005859375,264.54925537109375,469.0
consumption_per_sqm_lag_336h,1997.490966796875,116.24588775634766,277.0
consumption_per_sqm_lag_337h,3980.47607421875,239.82508850097656,439.0
consumption_per_sqm_lag_3h,5763.8076171875,2236.031982421875,867.0
consumption_per_sqm_lag_47h,2779.99609375,130.84365844726562,261.0
consumption_per_sqm_lag_48h,2714.529052734375,70.00342559814453,172.0
consumption_per_sqm_lag_49h,880.8324584960938,101.25348663330078,185.0
consumption_per_sqm_lag_4h,5672.85302734375,1554.433349609375,408.0
consumption_per_sqm_lag_5h,6761.0869140625,736.3054809570312,287.0
consumption_per_sqm_lag_6h,3946.8017578125,1125.1553955078125,227.0
consumption_per_sqm_lag_71h,4084.8359375,148.5881805419922,268.0
consumption_per_sqm_lag_72h,2371.849609375,110.8272476196289,173.0
consumption_per_sqm_lag_73h,1981.8035888671875,104.53905487060547,224.0
consumption_per_sqm_roll_max_12h,853.3055419921875,674.9528198242188,144.0
consumption_per_sqm_roll_max_168h,1942.58642578125,404.02484130859375,191.0
consumption_per_sqm_roll_max_24h,1095.3135986328125,137.3454132080078,169.0
consumption_per_sqm_roll_max_3h,4577.22802734375,1168.88818359375,184.0
consumption_per_sqm_roll_max_48h,4176.623046875,128.5712127685547,130.0
consumption_per_sqm_roll_max_6h,5233.85693359375,1297.301513671875,126.0
consumption_per_sqm_roll_mean_12h,1572.6519775390625,306.9945068359375,204.0
consumption_per_sqm_roll_mean_168h,1869.86474609375,203.93492126464844,170.0
consumption_per_sqm_roll_mean_24h,2719.94287109375,138.64883422851562,175.0
consumption_per_sqm_roll_mean_3h,8229.9404296875,261.39068603515625,134.0
consumption_per_sqm_roll_mean_48h,1804.220458984375,117.71786499023438,127.0
consumption_per_sqm_roll_mean_6h,2824.953857421875,479.0157165527344,130.0
consumption_per_sqm_roll_median_12h,2230.177978515625,585.7168579101562,191.0
consumption_per_sqm_roll_median_168h,3419.084716796875,230.5406951904297,189.0
consumption_per_sqm_roll_median_24h,1571.512939453125,610.0194091796875,154.0
consumption_per_sqm_roll_median_3h,6430.12158203125,983.4909057617188,173.0
consumption_per_sqm_roll_median_48h,1549.6815185546875,97.20796203613281,135.0
consumption_per_sqm_roll_median_6h,2802.60009765625,1861.077880859375,155.0
consumption_per_sqm_roll_min_12h,3984.921630859375,736.9408569335938,255.0
consumption_per_sqm_roll_min_168h,1819.066650390625,180.42440795898438,165.0
consumption_per_sqm_roll_min_24h,3029.2587890625,209.24420166015625,143.0
consumption_per_sqm_roll_min_3h,3049.044189453125,1720.18212890625,249.0
consumption_per_sqm_roll_min_48h,2845.3134765625,142.42007446289062,118.0
consumption_per_sqm_roll_min_6h,9214.8896484375,4002.0478515625,235.0
consumption_per_sqm_roll_std_12h,760.27880859375,418.2821350097656,373.0
consumption_per_sqm_roll_std_168h,2251.343505859375,211.0192108154297,358.0
consumption_per_sqm_roll_std_24h,2042.0450439453125,209.90316772460938,311.0
consumption_per_sqm_roll_std_3h,2792.929443359375,1721.583251953125,1334.0
consumption_per_sqm_roll_std_48h,2066.690673828125,249.83436584472656,278.0
consumption_per_sqm_roll_std_6h,2726.333984375,203.03675842285156,488.0
dayofweek,8776.7841796875,857.0562744140625,232.0
dayofweek_cos,11851.6171875,338.0464172363281,81.0
dayofweek_sin,8245.095703125,534.8233032226562,94.0
dayofyear,3635.66015625,274.0748291015625,606.0
dayofyear_cos,3798.501220703125,304.26519775390625,435.0
dayofyear_sin,4046.485595703125,165.16177368164062,490.0
hdd,2625.0,164.091796875,4.0
hour,2552.35009765625,14437.7080078125,317.0
hour_cos,1621.690185546875,308.5571594238281,71.0
hour_sin,2808.49658203125,3635.496337890625,288.0
hour_x_dayofweek,3030.353759765625,414.8625793457031,438.0
is_weekend,1597.5,707.8519287109375,4.0
log_building_size_m2,2941.75,1478.90185546875,32.0
log_building_size_m2_x_air temperature,9889.9853515625,451.07415771484375,199.0
log_building_size_m2_x_cloud_cover,8363.53515625,79.00703430175781,71.0
log_building_size_m2_x_hour_cos,8955.6767578125,2515.141845703125,260.0
log_building_size_m2_x_hour_sin,7228.46142578125,2188.30859375,661.0
