feature,cover,gain,weight
Atm pressure mm of mercury,1412.8646240234375,1431.2177734375,3612.0
Mean wind speed,1018.3355102539062,742.2905883789062,1845.0
Relative humidity (%),2211.956787109375,5791.24365234375,2432.0
air temperature,3771.87255859375,13915.3896484375,3903.0
building_size_m2,5727.72119140625,633755.5625,6036.0
cloud_cover_percentage,1042.135009765625,1056.612548828125,637.0
dayofweek,2987.46728515625,73580.0859375,3260.0
dayofyear,4746.189453125,9308.4130859375,7450.0
hour,4704.22705078125,99257.546875,5361.0
hour_x_dayofweek,2686.56103515625,32632.59375,2800.0
temp_x_hour,2011.7171630859375,10517.3076171875,2507.0
visibility,1748.1700439453125,674.540771484375,647.0
