feature,cover,gain,weight
Atm pressure mm of mercury,502.5976867675781,1803.436767578125,348.0
Mean wind speed,435.4228820800781,1786.2965087890625,201.0
Relative humidity (%),1612.640625,30783.115234375,345.0
air temperature,2414.42822265625,39136.6015625,1123.0
building_size_m2,11819.2587890625,3877877.5,1040.0
cloud_cover_percentage,895.2149658203125,2078.366943359375,107.0
dayofweek,3024.310791015625,186017.453125,949.0
dayofyear,2125.245361328125,15957.052734375,1981.0
hour,4544.92236328125,220194.0625,1773.0
hour_x_dayofweek,2374.072509765625,85286.046875,841.0
temp_x_hour,2013.3836669921875,34969.66015625,722.0
visibility,698.9210815429688,1239.671142578125,114.0
