feature,cover,gain,weight
Atm pressure mm of mercury,69.4244384765625,63.34060287475586,622.0
Mean wind speed,217.26211547851562,77.14730072021484,351.0
Relative humidity (%),376.9966735839844,82.32251739501953,300.0
Relative humidity (%)_lag_1h,1397.11572265625,154.66571044921875,216.0
Relative humidity (%)_lag_24h,105.61260986328125,81.96049499511719,222.0
Relative humidity (%)_lag_2h,292.64227294921875,101.52103424072266,123.0
Relative humidity (%)_lag_3h,83.375,77.82014465332031,104.0
Relative humidity (%)_roll_mean_12h,434.7849426269531,146.44398498535156,186.0
Relative humidity (%)_roll_mean_24h,2285.17333984375,198.6441192626953,173.0
Relative humidity (%)_roll_mean_3h,744.59375,110.62451934814453,64.0
Relative humidity (%)_roll_mean_6h,325.8615417480469,134.57861328125,65.0
Relative humidity (%)_roll_std_12h,192.06329345703125,78.40206909179688,158.0
Relative humidity (%)_roll_std_24h,485.51934814453125,90.74356842041016,181.0
Relative humidity (%)_roll_std_3h,68.65625,65.04695129394531,128.0
Relative humidity (%)_roll_std_6h,243.22727966308594,91.1873550415039,176.0
air temperature,1230.5335693359375,1164.99951171875,268.0
air temperature_lag_1h,389.0618591308594,224.44110107421875,97.0
air temperature_lag_24h,2246.15087890625,172.21458435058594,159.0
air temperature_lag_2h,416.1686706542969,192.34091186523438,83.0
air temperature_lag_3h,497.5142822265625,197.40623474121094,70.0
air temperature_roll_mean_12h,741.57666015625,297.2861022949219,163.0
air temperature_roll_mean_24h,861.2058715820312,226.98948669433594,204.0
air temperature_roll_mean_3h,482.34246826171875,388.3829650878906,73.0
air temperature_roll_mean_6h,548.1764526367188,250.63783264160156,102.0
air temperature_roll_std_12h,1058.4678955078125,203.57769775390625,171.0
air temperature_roll_std_24h,390.2193603515625,163.12307739257812,155.0
air temperature_roll_std_3h,862.8615112304688,147.71397399902344,130.0
air temperature_roll_std_6h,320.4596862792969,165.8357391357422,124.0
air temperature_x_hour,1893.123779296875,302.4649353027344,202.0
building_size_m2,1531.0926513671875,1398.552001953125,367.0
building_size_m2_x_air temperature,3081.392822265625,722.4263916015625,331.0
building_size_m2_x_cloud_cover,1346.892578125,170.17518615722656,121.0
building_size_m2_x_hour_cos,3017.24169921875,2699.9677734375,840.0
building_size_m2_x_hour_sin,3640.6904296875,6899.80517578125,869.0
cloud_cover_percentage,155.60000610351562,77.19818115234375,10.0
cloud_cover_percentage_lag_1h,67.22222137451172,95.6518325805664,18.0
cloud_cover_percentage_lag_24h,68.42105102539062,88.31705474853516,38.0
cloud_cover_percentage_lag_2h,172.39999389648438,74.23016357421875,35.0
cloud_cover_percentage_lag_3h,151.5,136.85340881347656,22.0
cloud_cover_percentage_roll_mean_12h,804.2911376953125,260.7719421386719,79.0
cloud_cover_percentage_roll_mean_24h,1499.4444580078125,181.73721313476562,81.0
cloud_cover_percentage_roll_mean_3h,510.4347839355469,169.4761505126953,23.0
cloud_cover_percentage_roll_mean_6h,502.1333312988281,228.64320373535156,45.0
cloud_cover_percentage_roll_std_12h,204.82177734375,81.7380599975586,101.0
cloud_cover_percentage_roll_std_24h,680.9619140625,118.96913146972656,105.0
cloud_cover_percentage_roll_std_3h,178.39999389648438,78.4194107055664,45.0
cloud_cover_percentage_roll_std_6h,2537.205078125,155.78929138183594,78.0
consumption_per_log_sqm_lag_12h,1117.9061279296875,1081.6103515625,245.0
consumption_per_log_sqm_lag_167h,4665.45751953125,52641.22265625,855.0
consumption_per_log_sqm_lag_168h,3904.27685546875,437933.375,336.0
consumption_per_log_sqm_lag_169h,3924.390625,510.3918762207031,924.0
consumption_per_log_sqm_lag_1h,10064.72265625,1103122.5,2995.0
consumption_per_log_sqm_lag_23h,3693.561767578125,11337.8623046875,575.0
consumption_per_log_sqm_lag_24h,2290.7880859375,16750.884765625,236.0
consumption_per_log_sqm_lag_25h,3619.42919921875,336.4452209472656,261.0
