feature,cover,gain,weight
Atm pressure mm of mercury,417.7308349609375,1959.8360595703125,1252.0
Max gust value,1613.4200439453125,3162.683349609375,388.0
Mean wind speed,437.2351379394531,2429.13330078125,689.0
Relative humidity (%),1257.447509765625,14554.8828125,847.0
air temperature,3119.676513671875,25124.259765625,1821.0
building_size_m2,7178.4384765625,1404326.25,2587.0
dayofweek,2880.400146484375,99639.7421875,1872.0
dayofyear,2445.87841796875,13123.1962890625,3333.0
dewpoint temperature,1085.9207763671875,7849.8857421875,555.0
hour,4897.8076171875,149979.84375,3122.0
hour_x_dayofweek,2045.764404296875,57879.5625,1498.0
month,2028.95703125,8534.26953125,279.0
quarter,1486.4285888671875,645.0919189453125,7.0
temp_x_hour,1988.6368408203125,16548.482421875,1041.0
visibility,874.7105102539062,1059.8265380859375,228.0
weekofyear,2727.8388671875,9762.23046875,1161.0
