feature,cover,gain,weight
Atm pressure mm of mercury,675.1119384765625,17.579586029052734,3610.0
Mean wind speed,659.8786010742188,21.141849517822266,1936.0
Relative humidity (%),298.0278015136719,20.48920249938965,1474.0
Relative humidity (%)_lag_1h,1362.673828125,39.43633270263672,1018.0
Relative humidity (%)_lag_24h,615.0081176757812,21.927906036376953,1109.0
Relative humidity (%)_lag_2h,2154.92041015625,29.586318969726562,666.0
Relative humidity (%)_lag_3h,416.17041015625,29.07108497619629,581.0
Relative humidity (%)_roll_mean_12h,502.7765808105469,41.10375213623047,837.0
Relative humidity (%)_roll_mean_24h,2575.18212890625,67.58821868896484,758.0
Relative humidity (%)_roll_mean_3h,1820.0673828125,46.15377426147461,297.0
Relative humidity (%)_roll_mean_6h,2160.59423828125,39.9710578918457,377.0
Relative humidity (%)_roll_std_12h,1038.8555908203125,33.044403076171875,914.0
Relative humidity (%)_roll_std_24h,881.45361328125,37.855796813964844,776.0
Relative humidity (%)_roll_std_3h,411.0146789550781,27.831178665161133,817.0
Relative humidity (%)_roll_std_6h,1545.908447265625,38.1163330078125,885.0
air temperature,521.8659057617188,386.464599609375,634.0
air temperature_lag_1h,1744.8206787109375,79.96245574951172,357.0
air temperature_lag_24h,1915.9036865234375,60.70430374145508,623.0
air temperature_lag_2h,597.9961547851562,65.05848693847656,261.0
air temperature_lag_3h,810.7010498046875,83.730224609375,281.0
air temperature_roll_mean_12h,1470.429443359375,127.56689453125,652.0
air temperature_roll_mean_24h,1185.9503173828125,147.0797119140625,564.0
air temperature_roll_mean_3h,1483.75,123.13520050048828,248.0
air temperature_roll_mean_6h,730.0469360351562,111.01905822753906,277.0
air temperature_roll_std_12h,1504.7171630859375,57.23101806640625,838.0
air temperature_roll_std_24h,1271.2603759765625,49.563018798828125,745.0
air temperature_roll_std_3h,842.692626953125,52.253021240234375,514.0
air temperature_roll_std_6h,535.3411865234375,46.638999938964844,762.0
air temperature_sq,1442.57861328125,149.25604248046875,280.0
air temperature_x_hour,1952.1717529296875,154.39739990234375,629.0
air temperature_x_is_weekend,3244.5,134.3554229736328,290.0
air temperature_x_season_Autumn,3708.38916015625,77.9239730834961,352.0
air temperature_x_season_Spring,4401.57666015625,82.79541015625,293.0
air temperature_x_season_Summer,376.25,185.9708251953125,80.0
air temperature_x_season_Winter,4253.71533203125,67.29368591308594,130.0
building_size_m2,1017.8126220703125,1145.742431640625,822.0
building_size_m2_x_air temperature,4469.69091796875,292.3056640625,832.0
building_size_m2_x_cloud_cover,2752.847412109375,51.999725341796875,564.0
building_size_m2_x_hour_cos,5563.53564453125,864.6072998046875,1633.0
building_size_m2_x_hour_sin,5523.1474609375,3149.287109375,2046.0
cdd,1225.3333740234375,569.9556274414062,3.0
cloud_cover_percentage,283.8070068359375,50.744834899902344,57.0
cloud_cover_percentage_lag_1h,198.36134338378906,36.72983932495117,119.0
cloud_cover_percentage_lag_24h,489.823974609375,33.29402160644531,267.0
cloud_cover_percentage_lag_2h,164.58621215820312,36.82461929321289,116.0
cloud_cover_percentage_lag_3h,659.267578125,27.894594192504883,142.0
cloud_cover_percentage_roll_mean_12h,820.9661254882812,58.324466705322266,354.0
cloud_cover_percentage_roll_mean_24h,1883.34619140625,59.073123931884766,468.0
cloud_cover_percentage_roll_mean_3h,349.02410888671875,58.400020599365234,166.0
cloud_cover_percentage_roll_mean_6h,1071.859130859375,47.03559494018555,220.0
cloud_cover_percentage_roll_std_12h,893.9166870117188,44.61191940307617,480.0
cloud_cover_percentage_roll_std_24h,2179.602783203125,42.04155731201172,496.0
cloud_cover_percentage_roll_std_3h,699.4856567382812,38.72675704956055,348.0
cloud_cover_percentage_roll_std_6h,1545.0655517578125,51.444862365722656,458.0
consumption_per_log_sqm_lag_12h,1461.317138671875,93.11660766601562,905.0
consumption_per_log_sqm_lag_167h,4286.755859375,27729.28515625,1737.0
consumption_per_log_sqm_lag_168h,4170.52880859375,83053.6953125,900.0
consumption_per_log_sqm_lag_169h,6616.1484375,260.9180603027344,1265.0
consumption_per_log_sqm_lag_1h,11300.0576171875,935626.0625,3734.0
consumption_per_log_sqm_lag_23h,4366.01171875,5249.826171875,1197.0
consumption_per_log_sqm_lag_24h,4189.64599609375,6596.99462890625,644.0
consumption_per_log_sqm_lag_25h,6160.93310546875,82.94052124023438,704.0
consumption_per_log_sqm_lag_2h,13491.1005859375,436.9270324707031,1024.0
consumption_per_log_sqm_lag_335h,4347.546875,4648.64306640625,1201.0
consumption_per_log_sqm_lag_336h,4057.49658203125,402.6920166015625,590.0
consumption_per_log_sqm_lag_337h,5106.2763671875,103.50169372558594,781.0
consumption_per_log_sqm_lag_3h,11147.166015625,360.91650390625,737.0
consumption_per_log_sqm_lag_47h,2819.809326171875,660.965576171875,745.0
consumption_per_log_sqm_lag_48h,4986.7578125,83.2380599975586,562.0
consumption_per_log_sqm_lag_49h,3139.210693359375,53.9769401550293,489.0
consumption_per_log_sqm_lag_4h,12522.34765625,111.15543365478516,814.0
consumption_per_log_sqm_lag_5h,8437.34765625,75.7906494140625,520.0
consumption_per_log_sqm_lag_6h,3835.592529296875,85.26703643798828,427.0
consumption_per_log_sqm_lag_71h,3098.730224609375,223.7791290283203,786.0
consumption_per_log_sqm_lag_72h,5015.78857421875,67.3411865234375,511.0
